Metric: 1;
featureCount;featureAdded;train;test;
1;22.0;0.999615384615;0.492023809524;
2;23.0;0.999415384615;0.492738095238;
3;33.0;1.0;0.495;
4;275.0;0.999807692308;0.509642857143;
5;277.0;1.0;0.4975;
6;165.0;1.0;0.514880952381;
7;41.0;1.0;0.504761904762;
8;35.0;1.0;0.51119047619;
9;276.0;1.0;0.519166666667;
10;319.0;0.999807692308;0.509166666667;
11;36.0;1.0;0.505595238095;
12;331.0;1.0;0.524047619048;
13;231.0;1.0;0.524285714286;
14;330.0;1.0;0.501666666667;
15;264.0;1.0;0.555357142857;
16;176.0;1.0;0.531785714286;
17;232.0;1.0;0.517023809524;
18;34.0;1.0;0.55119047619;
19;242.0;1.0;0.549166666667;
20;278.0;1.0;0.528452380952;


Metric: 2;
featureCount;featureAdded;train;test;
1;130.0;0.664607692308;0.531547619048;
2;465.0;0.972546153846;0.53619047619;
3;464.0;0.998630769231;0.526666666667;
4;362.0;1.0;0.519166666667;
5;467.0;1.0;0.529761904762;
6;599.0;1.0;0.519880952381;
7;363.0;1.0;0.519166666667;
8;353.0;1.0;0.524880952381;
9;559.0;1.0;0.539404761905;
10;196.0;1.0;0.528452380952;
11;144.0;1.0;0.531666666667;
12;469.0;1.0;0.51119047619;
13;558.0;1.0;0.501547619048;
14;350.0;1.0;0.512380952381;
15;355.0;1.0;0.558452380952;
16;466.0;1.0;0.514880952381;
17;262.0;1.0;0.517142857143;
18;166.0;1.0;0.50630952381;
19;361.0;1.0;0.517976190476;
20;556.0;0.9998;0.523214285714;


Metric: 3;
featureCount;featureAdded;train;test;
1;464.0;1.0;0.510476190476;
2;554.0;1.0;0.532380952381;
3;465.0;1.0;0.523452380952;
4;0.0;1.0;0.554285714286;
5;555.0;1.0;0.546547619048;
6;556.0;1.0;0.529047619048;
7;129.0;1.0;0.535;
8;101.0;1.0;0.545238095238;
9;584.0;1.0;0.537738095238;
10;582.0;1.0;0.55619047619;
11;479.0;1.0;0.542976190476;
12;130.0;1.0;0.539880952381;
13;585.0;1.0;0.562380952381;
14;442.0;1.0;0.530595238095;
15;462.0;1.0;0.522619047619;
16;466.0;1.0;0.526428571429;
17;446.0;0.9998;0.527619047619;
18;447.0;1.0;0.524285714286;
19;30.0;1.0;0.543214285714;
20;467.0;1.0;0.548095238095;


Metric: 4;
featureCount;featureAdded;train;test;
1;470.0;0.999023076923;0.533928571429;
2;207.0;0.990123076923;0.520714285714;
3;390.0;0.999807692308;0.494166666667;
4;4.0;1.0;0.514166666667;
5;41.0;1.0;0.505476190476;
6;345.0;1.0;0.490952380952;
7;3.0;1.0;0.497976190476;
8;9.0;1.0;0.491904761905;
9;164.0;1.0;0.517261904762;
10;306.0;1.0;0.513452380952;
11;241.0;1.0;0.51619047619;
12;350.0;1.0;0.513214285714;
13;349.0;1.0;0.507023809524;
14;335.0;1.0;0.538095238095;
15;391.0;1.0;0.51369047619;
16;395.0;1.0;0.512023809524;
17;133.0;1.0;0.51380952381;
18;60.0;1.0;0.509523809524;
19;472.0;1.0;0.509047619048;
20;268.0;1.0;0.50869047619;


Metric: 5;
featureCount;featureAdded;train;test;
1;129.0;1.0;0.517857142857;
2;41.0;0.999807692308;0.508452380952;
3;349.0;1.0;0.51630952381;
4;4.0;1.0;0.50869047619;
5;295.0;1.0;0.497261904762;
6;9.0;1.0;0.508214285714;
7;207.0;1.0;0.518214285714;
8;334.0;1.0;0.519761904762;
9;262.0;1.0;0.51869047619;
10;241.0;1.0;0.509404761905;
11;1.0;1.0;0.532976190476;
12;328.0;1.0;0.504285714286;
13;55.0;1.0;0.505476190476;
14;70.0;1.0;0.502023809524;
15;336.0;1.0;0.516071428571;
16;67.0;1.0;0.514523809524;
17;340.0;1.0;0.499285714286;
18;451.0;1.0;0.519642857143;
19;92.0;1.0;0.501071428571;
20;98.0;1.0;0.50880952381;


Metric: 6;
featureCount;featureAdded;train;test;
1;470.0;0.999223076923;0.533928571429;
2;207.0;0.991246153846;0.514880952381;
3;390.0;0.999423076923;0.495833333333;
4;4.0;1.0;0.505476190476;
5;3.0;1.0;0.477380952381;
6;345.0;1.0;0.482380952381;
7;41.0;1.0;0.50369047619;
8;9.0;1.0;0.51;
9;164.0;1.0;0.504642857143;
10;306.0;1.0;0.51869047619;
11;241.0;1.0;0.51119047619;
12;350.0;1.0;0.489285714286;
13;335.0;1.0;0.505952380952;
14;349.0;1.0;0.502380952381;
15;391.0;1.0;0.502023809524;
16;395.0;1.0;0.539880952381;
17;133.0;1.0;0.522857142857;
18;60.0;1.0;0.503333333333;
19;472.0;1.0;0.507261904762;
20;268.0;1.0;0.5025;


Metric: 7;
featureCount;featureAdded;train;test;
1;0.0;0.999807692308;0.538571428571;
2;4.0;1.0;0.514404761905;
3;3.0;1.0;0.531428571429;
4;6.0;1.0;0.544880952381;
5;7.0;1.0;0.549642857143;
6;2.0;1.0;0.564642857143;
7;5.0;1.0;0.544761904762;
8;8.0;1.0;0.547023809524;
9;9.0;1.0;0.553214285714;
10;1.0;1.0;0.539047619048;
11;291.0;1.0;0.545357142857;
12;272.0;1.0;0.537619047619;
13;349.0;1.0;0.552619047619;
14;174.0;1.0;0.556428571429;
15;130.0;1.0;0.548571428571;
16;20.0;1.0;0.549166666667;
17;185.0;1.0;0.564642857143;
18;164.0;1.0;0.558214285714;
19;163.0;1.0;0.555833333333;
20;169.0;1.0;0.53880952381;


Metric: 8;
featureCount;featureAdded;train;test;
1;0.0;0.999607692308;0.537738095238;
2;3.0;1.0;0.496904761905;
3;2.0;1.0;0.510476190476;
4;4.0;1.0;0.532976190476;
5;554.0;1.0;0.533333333333;
6;130.0;1.0;0.538095238095;
7;129.0;1.0;0.526666666667;
8;461.0;1.0;0.54380952381;
9;460.0;1.0;0.527619047619;
10;520.0;1.0;0.535833333333;
11;1.0;1.0;0.532380952381;
12;42.0;1.0;0.53619047619;
13;41.0;1.0;0.524166666667;
14;9.0;1.0;0.531547619048;
15;555.0;1.0;0.499642857143;
16;470.0;1.0;0.488333333333;
17;5.0;1.0;0.508214285714;
18;109.0;1.0;0.510238095238;
19;556.0;1.0;0.499166666667;
20;371.0;1.0;0.52;


Metric: 9;
featureCount;featureAdded;train;test;
1;347.0;1.0;0.490476190476;
2;348.0;0.995915384615;0.493333333333;
3;341.0;0.999607692308;0.48630952381;
4;342.0;1.0;0.491666666667;
5;271.0;0.999807692308;0.488095238095;
6;325.0;1.0;0.482023809524;
7;73.0;1.0;0.476547619048;
8;39.0;1.0;0.482023809524;
9;270.0;1.0;0.51119047619;
10;40.0;1.0;0.512380952381;
11;326.0;1.0;0.508333333333;
12;66.0;1.0;0.515238095238;
13;72.0;1.0;0.499404761905;
14;238.0;1.0;0.520833333333;
15;205.0;1.0;0.519166666667;
16;105.0;1.0;0.521666666667;
17;215.0;1.0;0.513571428571;
18;237.0;1.0;0.502142857143;
19;17.0;1.0;0.510952380952;
20;67.0;1.0;0.516071428571;


