number of features;pearson;lr;l1;l2;svm;rf
0.66953125;0.66953125;0.66953125;0.66953125;0.66953125;0.66953125;
0.69296875;0.69296875;0.69296875;0.69296875;0.69296875;0.69296875;
0.72734375;0.72734375;0.72734375;0.72734375;0.72734375;0.72734375;
0.7484375;0.7484375;0.7484375;0.7484375;0.7484375;0.7484375;
0.7734375;0.7734375;0.7734375;0.7734375;0.7734375;0.7734375;
0.79453125;0.79453125;0.79453125;0.79453125;0.79453125;0.79453125;
0.7984375;0.7984375;0.7984375;0.7984375;0.7984375;0.7984375;
0.8046875;0.8046875;0.8046875;0.8046875;0.8046875;0.8046875;
0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;
0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;
0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
0.8546875;0.8546875;0.8546875;0.8546875;0.8546875;0.8546875;
0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
0.84609375;0.84609375;0.84609375;0.84609375;0.84609375;0.84609375;
0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
0.8375;0.8375;0.8375;0.8375;0.8375;0.8375;
0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
0.84296875;0.84296875;0.84296875;0.84296875;0.84296875;0.84296875;
0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;
0.8328125;0.8328125;0.8328125;0.8328125;0.8328125;0.8328125;
0.828125;0.828125;0.828125;0.828125;0.828125;0.828125;
0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
0.84453125;0.84453125;0.84453125;0.84453125;0.84453125;0.84453125;
0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;
0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;


best accs obtained for each personperson;pearson;lr;l1;l2;svm;rf
1;0.66953125;0.66953125;0.66953125;0.66953125;0.66953125;0.66953125;
2;0.69296875;0.69296875;0.69296875;0.69296875;0.69296875;0.69296875;
3;0.72734375;0.72734375;0.72734375;0.72734375;0.72734375;0.72734375;
4;0.7484375;0.7484375;0.7484375;0.7484375;0.7484375;0.7484375;
5;0.7734375;0.7734375;0.7734375;0.7734375;0.7734375;0.7734375;
6;0.79453125;0.79453125;0.79453125;0.79453125;0.79453125;0.79453125;
7;0.7984375;0.7984375;0.7984375;0.7984375;0.7984375;0.7984375;
8;0.8046875;0.8046875;0.8046875;0.8046875;0.8046875;0.8046875;
9;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;
10;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;0.83046875;
11;0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
12;0.8546875;0.8546875;0.8546875;0.8546875;0.8546875;0.8546875;
13;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
14;0.84609375;0.84609375;0.84609375;0.84609375;0.84609375;0.84609375;
15;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
16;0.8375;0.8375;0.8375;0.8375;0.8375;0.8375;
17;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
18;0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
19;0.84296875;0.84296875;0.84296875;0.84296875;0.84296875;0.84296875;
20;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;
21;0.8328125;0.8328125;0.8328125;0.8328125;0.8328125;0.8328125;
22;0.828125;0.828125;0.828125;0.828125;0.828125;0.828125;
23;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
24;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
25;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;0.8453125;
26;0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
27;0.84453125;0.84453125;0.84453125;0.84453125;0.84453125;0.84453125;
28;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;0.84140625;
29;0.846875;0.846875;0.846875;0.846875;0.846875;0.846875;
30;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;0.84765625;
