number of features;train_pearson;train_lr;train_l1;train_l2;train_svm;train_rf;train_pca;test_pearson;test_lr;test_l1;test_l2;test_svm;test_rf;test_pca
7;0.85625;0.86875;0.9125;0.86875;0.8625;0.79375;0.8;0.7;0.7;0.725;0.7;0.7;0.7;0.725;
8;0.84375;0.9;0.925;0.9;0.86875;0.89375;0.95;0.6;0.525;0.6;0.525;0.5;0.6;0.525;
9;0.9125;0.94375;0.975;0.94375;0.93125;0.925;0.85625;0.825;0.65;0.725;0.65;0.65;0.775;0.775;
10;0.90625;0.86875;0.8875;0.86875;0.86875;0.90625;0.9125;0.675;0.65;0.65;0.65;0.6;0.65;0.6;
11;0.90625;0.85;0.8625;0.85;0.85625;0.88125;0.9375;0.775;0.7;0.75;0.7;0.7;0.75;0.625;
12;0.83125;0.90625;0.95625;0.90625;0.95;0.9;0.75;0.6;0.55;0.675;0.55;0.5;0.65;0.6;
13;0.91875;0.86875;0.91875;0.86875;0.875;0.91875;0.93125;0.775;0.625;0.675;0.625;0.6;0.825;0.65;
14;0.93125;0.9375;0.96875;0.9375;0.9125;0.94375;0.83125;0.675;0.775;0.8;0.775;0.75;0.675;0.725;
15;0.83125;0.95625;0.9875;0.95625;0.96875;0.875;0.75;0.725;0.7;0.75;0.7;0.7;0.675;0.525;
16;0.8;0.86875;0.90625;0.86875;0.83125;0.79375;0.71875;0.625;0.6;0.65;0.6;0.6;0.625;0.6;
17;0.83125;0.95;0.9375;0.95;0.9625;0.89375;0.69375;0.625;0.625;0.625;0.625;0.65;0.625;0.5;
18;0.8;0.825;0.85625;0.825;0.825;0.80625;0.8875;0.6;0.675;0.6;0.675;0.625;0.55;0.525;
19;0.95;0.95;0.9375;0.95;0.93125;0.93125;0.83125;0.675;0.7;0.7;0.7;0.675;0.725;0.75;
20;0.89375;0.90625;0.9125;0.90625;0.925;0.8625;0.91875;0.65;0.675;0.775;0.675;0.625;0.675;0.65;
21;0.75625;0.86875;0.88125;0.86875;0.85625;0.74375;0.84375;0.625;0.625;0.625;0.625;0.625;0.6;0.625;
22;0.875;0.83125;0.91875;0.83125;0.825;0.86875;0.71875;0.6;0.475;0.5;0.475;0.475;0.575;0.5;
23;0.83125;0.875;0.9;0.875;0.86875;0.90625;0.8125;0.675;0.65;0.65;0.65;0.65;0.65;0.725;
24;0.81875;0.9625;0.96875;0.9625;0.94375;0.8375;0.66875;0.575;0.725;0.625;0.725;0.625;0.575;0.525;
25;0.6875;0.925;0.925;0.925;0.94375;0.75;0.60625;0.525;0.675;0.525;0.675;0.675;0.5;0.45;
26;0.775;0.8375;0.84375;0.8375;0.81875;0.825;0.73125;0.675;0.8;0.75;0.8;0.725;0.65;0.65;
27;0.85;0.79375;0.80625;0.79375;0.76875;0.81875;0.79375;0.75;0.75;0.75;0.75;0.75;0.75;0.75;
28;0.8375;0.79375;0.8;0.79375;0.76875;0.76875;0.875;0.675;0.75;0.675;0.75;0.675;0.675;0.525;
29;0.95;0.8875;0.8875;0.8875;0.88125;0.9125;0.9875;0.725;0.7;0.7;0.7;0.65;0.8;0.675;
30;0.79375;0.7375;0.76875;0.7375;0.7375;0.85625;0.7375;0.675;0.675;0.675;0.675;0.675;0.75;0.675;
31;0.9375;0.89375;0.925;0.89375;0.85;0.9375;0.69375;0.6;0.6;0.625;0.6;0.575;0.775;0.6;
32;0.825;1.0;1.0;1.0;1.0;0.925;0.74375;0.775;0.8;0.925;0.8;0.75;0.825;0.7;
