Metric: 1;
featureCount;featureAdded;train;test;
6;325.0;1.0;0.47380952381;
7;73.0;1.0;0.47619047619;
8;39.0;1.0;0.480238095238;
9;270.0;1.0;0.516428571429;
10;40.0;1.0;0.514404761905;
11;326.0;1.0;0.509642857143;
12;66.0;1.0;0.524047619048;
13;72.0;1.0;0.514523809524;
14;238.0;1.0;0.518095238095;
15;205.0;1.0;0.513928571429;
16;105.0;1.0;0.524404761905;
17;215.0;1.0;0.5075;
18;237.0;1.0;0.506547619048;
19;17.0;1.0;0.516904761905;
20;67.0;1.0;0.507976190476;


