featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];beta;0.0263984907426;0.000141557300922;0.00155127747966;0.000151041377378;0.0185486795253;0.00119913875665;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];beta;0.0424625254302;0.00236128854801;0.0;0.00236907777799;0.0169008684266;0.0015743778488;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];delta;0.0406971008764;0.00166115077108;0.0;0.00166219949055;0.0119508390429;0.00158322848603;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];delta;0.0497571122254;0.000313493035101;0.000932402880243;0.000309874372805;0.0872114347622;0.00235363987237;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];theta;0.0570752903242;0.00338826708752;0.00492076042997;0.00338934601085;0.0859707290983;0.00223343495359;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];theta;0.0499423556677;0.00140909778528;0.00596875581146;0.00141950576867;0.030591568777;0.00174985480108;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];gamma;0.0471246181791;0.00108064810862;0.0;0.0010918697883;0.0274119038739;0.00167251808376;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];gamma;0.0309480096902;0.000752807286994;0.000356886657827;0.000757369549029;0.0491561234478;0.00220337246055;
DASM CP1,CP2;eeg;DASM;['CP1', 'CP2'];alpha;0.0834497445478;0.00272951411159;0.0033096085702;0.00273030798401;0.0492160636164;0.00217194257336;
RASM CP1,CP2;eeg;RASM;['CP1', 'CP2'];alpha;0.0099919551023;0.00062327145684;0.0;0.000626866636008;0.0216719510237;0.00189151976738;
LR P3,P4;eeg;LminR;['P3', 'P4'];alpha;0.0382803314113;0.00273403762107;0.00176198969294;0.00273061556785;0.0370207423149;0.00196673228094;
