person;interScore;interStd;interCount;interFeat;
0;0.625;0.0;1;RASM Fp1,Fp2;
1;0.7;1.11022302463e-16;1;DASM T7,T8;
2;0.6175;0.0210653744329;4;DE CP6(alpha);DCAU FC6,CP6;PSD AF3(delta);PSD PO4(alpha);
3;0.66375;0.0216145205822;10;PSD PO3(delta);DASM P7,P8;PSD Pz(theta);RASM C3,C4;PSD PO3(theta);RASM P7,P8;DE PO3(beta);DASM C3,C4;A/B PO4;DE Pz(beta);
4;0.78375;0.0163458710383;3;DE PO3(beta);DASM P3,P4;RASM AF3,AF4;
5;0.8;1.11022302463e-16;7;DASM F7,F8;PSD Fz(delta);DASM FC5,FC6;RCAU F7,P7;DE Fz(alpha);DE C4(delta);PSD F4(alpha);
6;0.79125;0.0119242400177;3;PSD T7(gamma);PSD AF3(alpha);DE FC1(theta);
7;0.68875;0.0184983107337;10;PSD PO4(alpha);RCAU FC6,CP6;DE Cz(beta);RASM FC1,FC2;RCAU F7,P7;RASM F7,F8;PSD FC1(beta);DE AF4(theta);PSD Pz(delta);DE AF4(gamma);
8;0.55;1.11022302463e-16;1;DE P3(beta);
9;0.61375;0.0201168461743;3;PSD AF4(delta);DE PO3(gamma);PSD Cz(beta);
10;0.65875;0.0198037243972;5;PSD P7(alpha);RASM P3,P4;DE F3(theta);PSD O2(gamma);PSD T8(delta);
11;0.5;0.0;1;DCAU FC5,CP5;
12;0.62625;0.0184983107337;2;DE CP1(beta);PSD Fp1(theta);
13;0.72;0.0231840462387;15;PSD PO4(beta);PSD F8(alpha);PSD AF4(theta);DE CP1(gamma);DCAU Fp2,O2;RCAU Fz,Pz;DCAU F7,P7;DCAU Fp1,O1;DE O1(delta);A/B F7;PSD P8(gamma);RASM Fp1,Fp2;DASM PO3,PO4;RASM F7,F8;PSD Oz(delta);
14;0.6;1.11022302463e-16;1;PSD P3(alpha);
15;0.7475;0.0108972473589;6;DCAU Fp1,O1;DASM FC1,FC2;DE PO4(gamma);DASM P7,P8;RCAU F4,P4;DCAU F8,P8;
16;0.50875;0.0198037243972;2;PSD FC1(gamma);PSD FC6(gamma);
17;0.62375;0.0167238602003;2;DASM F3,F4;PSD PO4(gamma);
18;0.575;1.11022302463e-16;1;DE O2(theta);
19;0.67375;0.026780356607;2;DASM AF3,AF4;PSD F4(gamma);
20;0.61375;0.0216145205822;5;PSD AF3(alpha);RCAU Fp1,O1;DE T8(theta);DE F7(gamma);PSD CP5(theta);
21;0.62625;0.0147372826532;6;PSD FC6(beta);RASM AF3,AF4;PSD FC2(delta);PSD AF3(beta);DASM T7,T8;PSD T7(theta);
22;0.68;0.0203100960116;4;RASM F7,F8;PSD C4(alpha);DE CP2(alpha);DE CP2(theta);
23;0.6375;0.0125;3;DE Cz(beta);PSD P7(beta);RCAU Fp1,O1;
24;0.73375;0.0240767003553;14;DE Pz(alpha);PSD Cz(theta);PSD CP6(gamma);DE C3(theta);RASM F3,F4;DE CP2(beta);PSD Fz(beta);DE C3(alpha);PSD T8(theta);RCAU FC1,CP1;RASM AF3,AF4;DE CP5(beta);PSD FC1(theta);PSD Cz(alpha);
25;0.7;0.0285043856275;7;DE FC6(theta);DCAU FC2,CP2;DASM AF3,AF4;DE O1(gamma);DE C3(gamma);DCAU Fp2,O2;DE FC5(beta);
26;0.78;0.012747548784;11;DE F4(gamma);DASM F3,F4;DASM CP1,CP2;DE T8(theta);DE Fp1(theta);PSD O1(gamma);A/B FC2;DE F4(beta);A/B F8;A/B O1;RASM C3,C4;
27;0.74;0.0183711730709;3;DCAU FC5,CP5;PSD C3(delta);DE FC5(theta);
28;0.79625;0.00892678553568;4;PSD FC5(delta);DASM C3,C4;DE CP5(alpha);DASM C3,C4;
29;0.6;0.0209165006634;3;DCAU Fp1,O1;A/B C3;DE FC5(alpha);
30;0.51625;0.0163458710383;8;PSD P4(beta);DASM T7,T8;PSD Fp1(alpha);DCAU FC1,CP1;PSD AF3(beta);DE Fp2(beta);DE P7(beta);PSD Pz(beta);
31;0.685;0.0329772648957;11;DE F3(theta);A/B C4;PSD Cz(delta);A/B Pz;RASM FC5,FC6;RCAU FC6,CP6;PSD F7(delta);DE PO4(gamma);A/B F4;RCAU F7,P7;RCAU FC2,CP2;


person;predScore;predStd;predCount;predFeat;
0;0.64375;0.0134047566185;2;RASM Fp1,Fp2;PSD C4(theta);
1;0.7;1.11022302463e-16;1;DASM T7,T8;
2;0.77375;0.00544862367943;2;DE CP6(alpha);RCAU F4,P4;
3;0.68625;0.0290204669156;2;PSD PO3(delta);PSD PO3(theta);
4;0.82875;0.0163458710383;6;DE PO3(beta);DASM P3,P4;RASM AF3,AF4;PSD FC2(alpha);DE Fp2(alpha);RASM F7,F8;
5;0.80625;0.0134047566185;5;DASM F7,F8;DASM FC5,FC6;DE Fz(alpha);DE C4(delta);DASM Fp1,Fp2;
6;0.76375;0.0147372826532;3;PSD T7(gamma);DE FC1(theta);DE F7(alpha);
7;0.70875;0.0163458710383;7;PSD PO4(alpha);RCAU FC6,CP6;DE Cz(beta);RCAU F7,P7;RASM F7,F8;PSD FC1(beta);PSD Pz(delta);
8;0.6225;0.0134629120178;2;DE P3(beta);RCAU Fp1,O1;
9;0.64375;0.0174553000547;4;PSD AF4(delta);DE PO3(gamma);PSD Cz(beta);DE P7(beta);
10;0.72375;0.0184983107337;5;PSD P7(alpha);PSD O2(gamma);PSD T8(delta);RASM C3,C4;RASM F7,F8;
11;0.60375;0.0240767003553;3;DCAU FC5,CP5;PSD Fp2(theta);DCAU FC6,CP6;
12;0.67125;0.0198037243972;4;DE CP1(beta);PSD Fp1(theta);DE P8(alpha);PSD CP6(alpha);
13;0.74125;0.0119242400177;5;PSD PO4(beta);PSD F8(alpha);DE CP1(gamma);PSD P8(gamma);RASM Fp1,Fp2;
14;0.6325;0.0195256241898;2;PSD P3(alpha);PSD FC5(beta);
15;0.7475;0.0175;7;DCAU Fp1,O1;DASM FC1,FC2;DE PO4(gamma);DASM P7,P8;RCAU F4,P4;DCAU F8,P8;PSD AF3(delta);
16;0.50125;0.0201168461743;3;PSD FC1(gamma);PSD FC6(gamma);DE T7(gamma);
17;0.675;0.0158113883008;4;DASM F3,F4;PSD PO4(gamma);PSD P8(theta);PSD Oz(beta);
18;0.60625;0.0207289049397;2;DE O2(theta);RCAU F7,P7;
19;0.71125;0.0216145205822;3;DASM AF3,AF4;PSD F4(gamma);DE CP6(theta);
20;0.715;0.0165831239518;6;PSD AF3(alpha);PSD CP5(theta);RASM C3,C4;PSD Fz(theta);DASM T7,T8;DE T8(delta);
21;0.5975;0.0075;4;PSD FC6(beta);RASM AF3,AF4;PSD FC2(delta);DASM T7,T8;
22;0.6675;0.0114564392374;3;RASM F7,F8;PSD C4(alpha);DE CP2(theta);
23;0.70875;0.0213234026365;3;DE Cz(beta);RCAU Fp1,O1;DE C3(delta);
24;0.68625;0.0124373429638;8;DE Pz(alpha);PSD Cz(theta);PSD CP6(gamma);DE C3(theta);PSD T8(theta);RASM AF3,AF4;PSD FC1(theta);PSD Cz(alpha);
25;0.71375;0.0167238602003;5;DE FC6(theta);DE O1(gamma);DE C3(gamma);DCAU Fp2,O2;DE FC5(beta);
26;0.76625;0.0163458710383;9;DASM CP1,CP2;DASM F3,F4;DE T8(theta);A/B FC2;DE F4(beta);A/B F8;A/B O1;RASM C3,C4;DE F8(alpha);
27;0.74875;0.0124373429638;4;DCAU FC5,CP5;PSD C3(delta);DE FC5(theta);RCAU FC1,CP1;
28;0.8075;0.0114564392374;5;PSD FC5(delta);DASM C3,C4;DE CP5(alpha);DASM C3,C4;DCAU Fz,Pz;
29;0.6375;0.0167705098312;4;DCAU Fp1,O1;A/B C3;DE FC5(alpha);DE P3(delta);
30;0.6075;0.0160078105936;6;PSD P4(beta);DASM T7,T8;PSD Fp1(alpha);DE P7(beta);PSD Pz(beta);DE T7(alpha);
31;0.7925;0.0178535710714;6;DE F3(theta);A/B C4;A/B Pz;RASM FC5,FC6;RCAU FC6,CP6;RCAU FC2,CP2;


person;predScore;predStd;predCount;predFeat;
