person;best_k;train_acc;test_acc;k=2;k=3;k=4;k=5;k=6;#0;#1;#2;#3;#4;#5;#6;A/B Fp1;A/B AF3;A/B F3;A/B F7;A/B FC5;A/B FC1;A/B C3;A/B T7;A/B CP5;A/B CP1;A/B P3;A/B P7;A/B PO3;A/B O1;A/B Oz;A/B Pz;A/B Fp2;A/B AF4;A/B Fz;A/B F4;A/B F8;A/B FC6;A/B FC2;A/B Cz;A/B C4;A/B T8;A/B CP6;A/B CP2;A/B P4;A/B P8;A/B PO4;A/B O2;LR Fp1,Fp2;LR AF3,AF4;LR F3,F4;LR F7,F8;LR FC5,FC6;LR FC1,FC2;LR C3,C4;LR T7,T8;LR CP5,CP6;LR CP1,CP2;LR P3,P4;LR P7,P8;LR PO3,PO4;FM Fp1;FM AF3;FM F3;FM F7;FM FC5;FM FC1;FM C3;FM T7;FM CP5;FM CP1;FM P3;FM P7;FM PO3;FM O1;FM Oz;FM Pz;FM Fp2;FM AF4;FM Fz;FM F4;FM F8;FM FC6;FM FC2;FM Cz;FM C4;FM T8;FM CP6;FM CP2;FM P4;FM P8;FM PO4;FM O2;avg GSR;std GSR;avg Respiration belt;std Respiration belt;avg Plethysmograph;std Plethysmograph;avg Temperature;std Temperature;avg HR;std HR;
0;2;0.6;0.5;0.6;0.567;0.567;0.533;0.5;LR C3,C4(0.451976446115);LR CP5,CP6(0.412127627134);FM C3(0.342133029966);FM T7(0.284400852322);FM PO4(0.278815226447);FM P4(0.272806871741);LR T7,T8(0.241880156843);0.184950265912;0.214806060652;-0.0300824822906;-0.148716496736;-0.084534405464;-0.0354915472179;0.196692559551;0.103815318155;0.194963114064;-0.190932717132;0.17500238235;0.278815226447;0.010703143657;0.272806871741;0.0320830733811;-0.137543532193;0.1787695761;0.18579414749;0.0846330503107;-0.152444505795;0.192619317047;0.193103631877;-0.0607349756028;-0.172559482822;0.0233541540931;0.0905042799694;0.051827679165;0.129051662565;0.201582035034;0.150469500212;0.0498193765516;0.237866799977;-0.0550492092584;0.104559669742;0.284400852322;0.342133029966;0.0100226544428;0.19566464548;0.221117585044;0.169213581333;0.15534163641;0.150765805325;-0.135383020492;0.225356243536;-0.148101986444;0.135147280162;0.412127627134;0.241880156843;0.451976446115;0.189581946235;0.0723763319231;0.12876259012;0.164902661337;0.0886892411057;-0.0270533704684;-0.0347159184836;0.0678761044016;-0.222260791131;0.164572042212;-0.187466297741;-0.201861387453;-0.130717942657;-0.205804487613;0.0732344797716;0.0456091675804;-0.0919572122517;-0.0903659178034;0.044171468327;0.0401332972757;0.0611711865837;-0.0141122883644;-0.0579158493003;-0.100349538926;-0.0282362445134;-0.0225381422048;-0.000651022844236;0.0394956444259;-0.0437487376426;-0.039500892535;0.0649853951922;0.0683217491838;0.200818388569;-0.175252752662;-0.0502569778887;0.139466923609;-0.0554153006398;-0.194720887497;
1;5;0.666666666667;0.6;0.6;0.633;0.6;0.667;0.667;A/B C3(0.394071069895);A/B CP2(0.342810772932);A/B CP1(0.315144400183);A/B F7(0.29542373296);A/B P4(0.28752766555);A/B O2(0.284515559553);A/B AF3(0.276068225301);-0.219453668832;-0.173136481929;-0.341399350361;0.0729381865581;-0.247139909228;0.0582168076296;-0.00523805320866;0.108244057347;-0.123368801415;-0.16088698608;0.0414225121394;0.0462610364258;0.12630483046;0.043021813678;0.0415626769705;0.0557575200123;0.0560358239123;0.0498251075389;0.0608384804635;0.0338716007328;0.0419241706682;0.0447022404025;0.0386389138192;0.0417086503994;0.0407137368832;0.0488263793276;0.0594004599221;0.0665199794706;0.0391182130951;0.0809652017734;0.035287490739;0.0520898563182;0.0313600413734;0.0442472408572;0.0429498823681;0.0464110704583;0.150113538284;0.0489621131458;0.0371152592979;0.0664788053605;0.0367990584414;0.0461231867554;0.0381205936197;-0.0670348366767;-0.0211026872449;-0.173909704908;-0.222616687043;-0.0413235610105;0.0583200349295;0.103465934452;0.0928407290371;0.204739175174;0.0625769685102;-0.0745645791657;-0.182193841589;0.284515559553;0.231120317029;0.257707005953;0.28752766555;0.342810772932;0.237145143668;0.184569804236;0.232746812766;0.174914423575;0.2664860019;0.247311203186;0.233261413523;0.258775184614;0.253376263458;0.275505783632;0.204807529563;0.251701979304;0.167289241654;0.260210210084;0.129872985254;0.249014258601;0.207471373136;0.315144400183;0.255915206009;0.129955096759;0.394071069895;0.0872338123856;0.210558401552;0.29542373296;0.273108164357;0.276068225301;0.192407176124;
2;2;0.6;0.8;0.6;0.5;0.5;0.567;0.5;FM Oz(0.441389103472);FM F7(0.407814688589);A/B AF3(0.361896888207);A/B FC1(0.359104980839);A/B F4(0.356099993597);FM O2(0.353129271285);FM O1(0.350872390165);0.0646794863694;-0.176171065531;-0.151478266704;-0.241012482615;0.156793181071;0.138356461759;-0.215336679298;-0.302531809327;0.0347713132768;-0.251247177428;0.353129271285;0.126560104414;0.18752021967;0.122320195929;0.124433145637;0.103712829323;0.132836841717;0.13213355998;0.185604679838;0.130315674213;0.124687423426;0.133754570733;0.138949263325;0.134324623389;0.304965860376;0.119714742664;0.114909277186;0.441389103472;0.350872390165;0.126005028874;0.111862473403;0.13351066014;0.136039552867;0.149316211406;0.143387774054;0.109505244405;0.226504169101;0.119511621958;0.407814688589;0.337914424698;0.16878124727;0.201230336948;-0.0945194077058;0.173814576558;0.131578776266;-0.197319665029;0.205869788365;-0.157899359719;0.15246830968;0.200322303338;0.187944181182;-0.0483527705147;-0.164844706609;0.231275354282;-0.250563750637;-0.0339335541029;0.316770613337;0.207608233849;0.33508772506;0.191889550514;0.217444700938;0.267508759365;0.247030142502;0.0291584676541;0.27944966029;0.320660478868;0.340702608141;0.356099993597;0.29493742379;0.0655850026917;0.305958083039;0.312354844727;0.214388258221;0.166138751352;0.223723386408;0.253084446579;0.330093723716;0.139230670461;0.316162404564;0.208064629314;0.282021714595;0.359104980839;0.292728134639;0.231931495475;0.127727519616;0.361896888207;-0.0300543060955;
3;2;0.5;0.7;0.5;0.4;0.4;0.4;0.467;std Plethysmograph(0.255222039715);A/B CP6(0.244051320875);A/B C3(0.242700218757);A/B AF4(0.24005149057);A/B FC6(0.239643493776);A/B Fz(0.236916424914);A/B FC1(0.231719195149);0.174744047715;0.056089230792;0.0813907009102;-0.187355781302;0.255222039715;0.0449717678688;-0.169728160539;-0.220439510289;0.125325286622;0.206901710441;-0.11360308713;-0.103882194707;-0.0796304182236;-0.10829126051;-0.087104370816;-0.117261532937;-0.123087830748;-0.0969781872279;-0.0754808524587;-0.117274882665;-0.114347390748;-0.108818681685;-0.10911214374;-0.12059307222;-0.117173163753;-0.106754188806;-0.118989303368;-0.111961852222;-0.0898303735071;-0.119678196055;-0.102861828605;-0.139638813396;-0.106676280056;-0.109504265557;-0.0577667370394;-0.117782287818;-0.117082964088;-0.119316321222;-0.107893923267;-0.113844155325;-0.112484761743;-0.105732521966;-0.0814416300423;-0.049109183297;0.172891161186;-0.196568049344;0.153144046425;0.178422637671;-0.109257592851;-0.043305186657;-0.271516483607;-0.127260093251;0.111072247839;0.141690367901;-0.0396551928237;0.165915428066;0.222877483296;0.200225394763;0.214195384602;0.202282644454;0.244051320875;0.221649993526;0.173753946287;0.168746076287;0.176432938751;0.239643493776;0.220714167945;0.224579055069;0.236916424914;0.24005149057;0.212063082029;0.187428732244;0.230751696188;0.197645101453;0.229600342185;0.182145465033;0.174874564875;0.223872491653;0.217695975549;0.0364704282892;0.242700218757;0.231719195149;0.222311262711;0.22800782613;0.0306770292815;0.178822211798;0.162810895764;
4;3;0.866666666667;0.8;0.733;0.867;0.867;0.867;0.8;std Respiration belt(0.527239412916);avg Respiration belt(0.483930485751);LR C3,C4(0.366290639438);LR FC1,FC2(0.300086042817);std Temperature(0.220383468602);A/B AF3(0.171547152895);A/B O1(0.165044045435);0.106451236169;0.0852625984705;0.220383468602;0.0861982129164;0.0423481998168;-0.299853014764;0.527239412916;0.483930485751;-0.0120447973286;-0.419844231324;-0.189216625589;-0.0649022256143;-0.0935308162353;-0.0447246246017;-0.191993116623;-0.17584750006;-0.108340567272;-0.207287511123;-0.140375044663;-0.0975254564612;-0.193682781935;-0.126152751191;-0.0666496400251;-0.180229469532;-0.206569849005;-0.0221325521458;-0.0322836668304;-0.184389600843;-0.178766301548;-0.076886078757;-0.189346107824;-0.0758376165394;-0.17997171683;-0.0929260305081;-0.186968873334;-0.0608909930216;-0.0440248301255;-0.0573344462164;-0.205166966524;-0.122006372166;-0.164217146449;-0.0938215842913;-0.187116740513;-0.0851968917313;-0.299839283651;0.0302587819936;0.0512751245813;0.0626222622749;0.366290639438;0.300086042817;0.0475788477651;0.104995396215;-0.146922182955;-0.130602516536;-0.326694500078;0.0476626504765;0.000166644458599;0.0088417845274;-0.0156963248919;-0.0690486396419;0.0823493654098;-0.00776304026248;0.127557702153;-0.106748798537;0.128720567255;0.0285790357323;0.037787811513;0.0906512490598;0.00117279018173;0.0380292048009;0.0576818694785;-0.0534912866678;0.0917014339826;0.165044045435;0.0546132656187;0.00209846789343;0.0990148128146;-0.00595471353138;0.134277688738;0.051926684747;0.0608580756952;0.0023241053686;0.0877315637215;0.0483926761991;0.0890984016393;0.171547152895;0.0487899775219;
5;2;0.7;0.8;0.7;0.633;0.633;0.633;0.633;LR CP1,CP2(0.370447696228);LR FC1,FC2(0.279659586139);LR AF3,AF4(0.257548782613);A/B T7(0.250738865837);FM PO4(0.214347903301);FM CP5(0.213447086529);LR P7,P8(0.211961442299);0.114984965682;0.0555166758275;0.0267824445278;-0.129847770792;-0.0678369879782;-0.470791232557;0.132745130779;0.129267894473;0.210812086476;-0.233518116842;0.184809659305;0.214347903301;0.149668334311;-0.102496809892;0.192787329844;0.032672843616;0.066261721045;0.0161323695102;0.134816229891;0.0516516093122;-0.0321676771802;0.149541978138;-0.0326087447701;0.186128766771;-0.0434968318677;0.0832035745396;0.189931297824;-0.0357740684294;0.0955027036699;-0.0394004373633;0.0687730550964;0.0574283494235;0.205797715831;0.213447086529;0.162298671801;-0.0179755637734;0.0858024248102;0.0544915109004;-0.0835009768947;-0.102824931235;-0.1107412869;0.169604098325;0.149227418509;0.211961442299;0.206443173675;0.370447696228;0.182605214135;-0.16192440872;0.000859601200036;0.279659586139;0.108510404252;0.174236463778;-0.137564426534;0.257548782613;-0.0799443020156;0.0715998187531;-0.0786167444293;-0.146452807841;-0.0941241706362;-0.0549569735056;-0.0321717926753;0.180492561079;-0.00594388810569;0.0653174052067;0.0852683247294;-0.00673213147194;-0.0907619157827;0.0959197510638;-0.150551216813;0.0120724750077;0.0492274850646;-0.00298703190579;0.0756584156067;-0.0183563732959;-0.00269639337973;0.0120212157814;-0.0287985523644;0.0993845169268;0.00597320628858;0.250738865837;0.0479661096193;0.193975950494;0.0841771878884;0.0413320421486;0.0519857324431;0.0993470660362;0.0290130114795;
6;5;0.8;0.6;0.767;0.767;0.767;0.8;0.8;FM PO4(0.55508074874);LR FC1,FC2(0.539345965618);FM Pz(0.53657661598);FM Fp1(0.526070459859);FM F8(0.509509163487);FM C3(0.507340865775);FM CP5(0.503511765808);0.113030597957;0.00986654305292;0.0966254529034;0.106784041706;-0.0616205741089;-0.086614041107;-0.0515638099005;-0.124580177482;0.190035213093;0.193092086031;0.390799668142;0.55508074874;0.339337925229;0.486296744533;-0.256204237597;0.040442119445;0.401310075858;0.502717064058;0.469016916997;-0.345851693748;0.220423509338;0.509509163487;0.316299836904;0.220470331359;0.235205482929;0.430078936647;0.53657661598;0.453551459318;-0.308446953701;-0.199076541602;0.179903050761;-0.140385234403;-0.315561148096;0.503511765808;0.405096396576;0.507340865775;-0.110781806654;0.232052472371;0.290245833605;0.431485574894;0.0585355334493;0.526070459859;-0.406362912359;-0.122895134195;-0.508132512493;-0.25552126546;0.0216329797262;0.0460280231855;0.491893338595;0.539345965618;0.0323867227765;-0.417745205407;-0.0601804853426;-0.437722194497;-0.206803920178;-0.0323675631688;-0.0913902671151;-0.0275871708431;-0.0339368432368;0.101246130693;0.291621448082;-0.10202025473;-0.231345104893;-0.250332905553;-0.0590392798214;-0.141813463735;-0.0444116789258;-0.274241074036;0.113590980903;-0.0282154171668;0.00430209932952;-0.175918452071;-0.140792889491;-0.0193381339497;-0.100101520265;-0.202085213661;-0.0993577990561;0.0733021514897;-0.0496864284381;-0.217538480058;0.0224804572813;-0.0735017551416;-0.218681954084;-0.150794845644;-0.174066267328;-0.180127890847;0.0912440305457;
7;2;0.766666666667;0.2;0.767;0.767;0.733;0.733;0.667;LR CP5,CP6(0.533740020904);LR C3,C4(0.431851401574);avg GSR(0.424064618755);LR FC1,FC2(0.265043051121);LR P7,P8(0.193791846151);avg Respiration belt(0.187363322667);FM FC5(0.178528470093);-0.362179620838;-0.038612021825;0.0722081139593;0.119921501924;-0.0447248790635;-0.0883119793306;-0.0920290891005;0.187363322667;-0.290886484778;0.424064618755;-0.094977169353;-0.0806823658297;-0.0929259627858;-0.131822254264;-0.0661971946957;-0.0983870720441;-0.120203111884;-0.0920139782209;-0.104399370495;-0.107339548457;0.0285732033911;-0.0184751015943;-0.100292336618;-0.0244191338711;-0.0833932036201;-0.130367692602;-0.100222531952;-0.0768020620245;-0.0786774360709;-0.0492301698029;-0.0752335432456;-0.0993129454817;-0.0813888359931;-0.0587993892933;-0.0821501691716;-0.0557827670819;-0.0660268185406;0.178528470093;-0.0417180368405;-0.0478750919607;-0.0931216964728;-0.362366643266;-0.014334165702;0.193791846151;-0.192109517446;0.084198699316;0.533740020904;-0.0107095050726;0.431851401574;0.265043051121;-0.0840107886429;0.011285770133;0.0825871976988;-0.173818625133;-0.117551277716;-0.036988102904;0.0833473161199;0.0222864628125;0.152243821449;-0.0728651159544;-0.160297546442;-0.156069408386;-0.250076642842;-0.0626920695641;-0.0125602528853;-0.127205071905;-0.0653437448335;-0.100613473782;0.0710966535648;-0.172297799761;0.0701625444038;-0.0600426778882;0.0651594300289;-0.0276756270586;0.00624251718037;-0.0874870830096;-0.255474421568;0.0797610330088;-0.097914270463;0.0124256365827;-0.0573529517114;-0.0713921091286;-0.0345230197576;0.0297589329766;-0.00251003608265;-0.042819060587;-0.0334363247073;
8;2;0.766666666667;0.8;0.767;0.767;0.767;0.633;0.667;FM T7(0.558575400044);LR CP1,CP2(0.558450397653);FM Oz(0.539858648569);FM T8(0.530983803176);FM AF4(0.5282758424);FM P8(0.439750385633);LR FC1,FC2(0.317234882947);-0.137747240606;0.0172233448465;0.0865847922599;-0.300940511552;-0.135696937741;0.117045067993;0.00864557316132;-0.0468135290965;-0.161845455993;-0.102137304421;-0.0675628210514;-0.0145647110962;0.439750385633;0.0427876913843;0.301858369928;0.126326996036;0.530983803176;0.0692020830113;0.216345260881;0.0903866639653;0.07395543402;-0.111096298033;-0.00621618910249;-0.0454405377507;0.5282758424;-0.124463657961;0.128300775224;0.539858648569;-0.129266055176;-0.0821125827481;0.0947207018558;0.125153926432;0.11364339975;0.0614535668566;0.558575400044;-0.106059523868;0.153530052338;-0.0285118785511;0.100898773647;0.09334198874;0.243033365149;-0.0323691251178;-0.505500668246;-0.457133033268;0.15611162313;0.558450397653;0.154611011201;-0.1022123697;0.29305172142;0.317234882947;0.144732063818;0.109983918418;-0.0103077961937;-0.683316626931;-0.0740659482993;0.116524888751;-0.0618228674214;-0.177990023894;-0.185490220413;-0.58034069689;-0.283577966453;-0.192229043982;-0.556549347203;-0.265921531939;-0.200197054949;-0.373040257781;-0.092638010186;-0.0987477789427;-0.0693144500975;0.041780634139;0.255597768844;-0.290836604526;-0.199076509055;0.0737898103291;-0.229204796101;-0.135615148272;-0.314459039833;-0.300755458782;-0.10106404534;-0.0372650898999;0.173441987462;-0.215948801942;-0.0933724951145;-0.125676517453;-0.0790617209945;0.125910919699;0.210539610701;
9;3;0.733333333333;0.8;0.567;0.733;0.633;0.7;0.733;FM P3(0.456342071561);std Temperature(0.404619748144);LR P3,P4(0.32358117719);FM Fz(0.32168326133);FM O2(0.31525962916);FM F8(0.308833793394);FM CP6(0.298910947153);-0.259732260155;-0.141009364026;0.404619748144;-0.299051967091;-0.252008351724;-0.0705507055573;0.0150556673632;0.0552667415471;0.206763127395;-0.273038094374;0.31525962916;0.11253958659;0.290130982226;0.103465618702;0.238049621423;0.298910947153;0.046092827154;0.0801595626299;0.283451166184;0.211723651988;0.246658322532;0.308833793394;0.146644141943;0.32168326133;0.245732876444;0.295912007202;0.103786383342;0.142092557157;0.252483106965;0.175577530572;0.0310197843428;0.456342071561;0.0708841254242;0.0538925045468;0.04294314188;0.159164537433;0.0313287006591;0.0827273136769;0.189593775935;0.109230596488;0.192123855754;0.0708302116368;0.233058615153;-0.044473233718;0.32358117719;0.0251753138843;-0.0778456774213;0.295002300508;0.0891274784236;-0.0951953857237;-0.228356592875;-0.406037559715;-0.231131748408;0.0791939507409;-0.0636043281343;-0.260903569535;0.174999815291;-0.36987571948;-0.292806577088;-0.424788870521;-0.377963702173;-0.316196016137;-0.0406954734199;-0.0659333095406;-0.365248774346;-0.362499733347;-0.241737123844;-0.0716325219454;-0.313493620495;-0.33551971401;-0.0886962737858;-0.331401866787;-0.360255638643;-0.163329169706;-0.213462820062;-0.203430984033;0.111715598312;-0.0329267328889;-0.231453210191;-0.432205820186;-0.242483987957;-0.0490307063867;-0.406840494246;-0.353912590994;-0.279941113152;-0.385579329624;-0.0299592817173;
