featname;eeg/phy;what;channels;waveband;pearson_r;mi;lr coef;l1 coef;l2 coef;svm coef;rf importances;PCA
DE F3(beta);eeg;DE;F3;beta;0.11932120443;0.0229517394019;0.0126110262689;0.0125041224138;0.0123960118986;0.0210201913457;0.00158834271952;0.0236999339612;
PSD F3(beta);eeg;PSD;F3;beta;0.118146838863;0.0231820767188;0.00799405144056;0.0220402176715;0.00810908756839;0.022181423924;0.00146337082912;0.0235383527061;
DE F3(alpha);eeg;DE;F3;alpha;0.0740037477673;0.0155493517663;0.0100204131307;0.0191238325087;0.0103106080478;0.0259362516288;0.00204393111928;0.022866027696;
PSD F3(alpha);eeg;PSD;F3;alpha;0.0736602955254;0.0191369834102;0.00194334034655;0.00401553593815;0.00193964582783;0.0292830662058;0.00195562603818;0.0221947128303;
DE F3(gamma);eeg;DE;F3;gamma;0.0866411329202;0.0179965697501;0.00466662913702;0.0149180770653;0.00465410428506;0.0269375512558;0.00177391229191;0.0311444503694;
PSD F3(gamma);eeg;PSD;F3;gamma;0.0921754531831;0.0192726179337;0.0031447099148;0.0278409002022;0.00316666769878;0.0176481654861;0.00165364626415;0.0310118544228;
DE F3(delta);eeg;DE;F3;delta;0.120240638174;0.0235859839609;0.0232094145296;0.069302585575;0.0230830437503;0.0604966480179;0.00258994208468;0.0155922779359;
PSD F3(delta);eeg;PSD;F3;delta;0.104126008873;0.0236331889694;0.00650296449346;0.01307920039;0.00650038901009;0.0595337417847;0.00286873910675;0.016474720403;
A/B F7;eeg;AB;F7;alpha & beta;0.0705558127225;0.0148325205668;0.00964125284716;0.00707587914898;0.00958922341;0.0594539602954;0.00234422447961;0.0123994859086;
DE F7(theta);eeg;DE;F7;theta;0.0789200904881;0.014183971856;0.00262939998014;0.0;0.00269711146021;0.00404247740485;0.00112662151136;0.0238484861509;
PSD F7(theta);eeg;PSD;F7;theta;0.0694008869834;0.0156676289704;0.00272586394206;0.00418243227098;0.00267309207548;0.0230955937327;0.00106460869342;0.0228396486782;
DE F7(beta);eeg;DE;F7;beta;0.0675034891707;0.013098108413;0.000940341487553;0.0;0.000906993530003;0.0139103202102;0.00123062258923;0.022235562673;
PSD F7(beta);eeg;PSD;F7;beta;0.044155526492;0.014632181992;0.012912276554;0.00491361751718;0.0128744154735;0.0125834466578;0.00106054101299;0.0220424169912;
DE F7(alpha);eeg;DE;F7;alpha;0.0539476389994;0.015720182464;0.00405701963659;0.0;0.00411278878014;0.00914727031824;0.00130112343534;0.0219022183747;
PSD F7(alpha);eeg;PSD;F7;alpha;0.0524999527354;0.0153488587264;0.00935158868597;0.0264541229778;0.00929843043528;0.043090646689;0.00124327457057;0.0208561706525;
DE F7(gamma);eeg;DE;F7;gamma;0.0452666232162;0.014922533621;0.0052379349144;0.0;0.00522451658437;0.0164433432785;0.00106186723953;0.0275088397132;
PSD F7(gamma);eeg;PSD;F7;gamma;0.0516412870617;0.0166177648255;0.00519911522706;0.00633661551765;0.00517965407501;0.0310294988979;0.00106018190796;0.0266624913986;
DE F7(delta);eeg;DE;F7;delta;0.0778909245924;0.0197701172989;0.00514351216197;0.0237250079315;0.00523174548005;0.0271351992728;0.00136028949871;0.0144586470485;
PSD F7(delta);eeg;PSD;F7;delta;0.0574414651726;0.0152476725026;0.000985758969936;0.00874561379296;0.00107454963492;0.0337807045735;0.00125563296361;0.013406928723;
A/B FC5;eeg;AB;FC5;alpha & beta;0.0527191191556;0.021355816432;0.000207939663414;0.0121884195209;0.000179242009421;0.0291466267003;0.00227461666126;0.0132384397311;
DE FC5(theta);eeg;DE;FC5;theta;0.0638316142303;0.0192974338395;0.0071537629983;0.0321835893964;0.00721617084584;0.0348616808408;0.00100243957008;0.0218775205419;
PSD FC5(theta);eeg;PSD;FC5;theta;0.0454216759369;0.0176159576705;0.0199955048668;0.0299006244979;0.0199924274479;0.0225610763393;0.000984680846559;0.0214997980688;
