featname;eeg/phy;what;channels;waveband;pearson_r;mi;lr coef;l1 coef;l2 coef;svm coef;rf importances;PCA
DE PO3(delta);eeg;DE;PO3;delta;0.0648772311987;0.0128691910758;0.00490800959785;0.00678137202723;0.00489663412118;0.0581628223774;0.00164685836181;0.0162329463785;
PSD PO3(delta);eeg;PSD;PO3;delta;0.0554712642531;0.0255786510892;0.00345510134881;0.0347357295577;0.00349833265393;0.0772571575695;0.00150152399058;0.0163418804862;
A/B O1;eeg;AB;O1;alpha & beta;0.0468184967311;0.017468695855;0.0123157148312;0.00703536515082;0.0122746133587;0.0583347781365;0.00217090828165;0.013547508478;
DE O1(theta);eeg;DE;O1;theta;0.0854479987913;0.0157365238234;0.00537877798845;0.0;0.00528550203595;0.00753284673551;0.000942938448758;0.024790429432;
PSD O1(theta);eeg;PSD;O1;theta;0.0857369530195;0.0176102245132;0.00680672926878;0.0176977200131;0.00682599499501;0.0329315865725;0.00101409185089;0.0245376016716;
DE O1(beta);eeg;DE;O1;beta;0.0764697294812;0.0227155388735;0.00368350687595;0.0;0.00366559438783;0.0238697313797;0.0010850398799;0.0241592597589;
PSD O1(beta);eeg;PSD;O1;beta;0.070843108895;0.0191222792513;0.0019767802098;0.00016188343189;0.00194750332815;0.033115378928;0.0010660718294;0.0230112284378;
DE O1(alpha);eeg;DE;O1;alpha;0.0508616765586;0.0174289305547;0.00687459554802;0.0117978809309;0.00684117821961;0.0173118281315;0.00121008989488;0.0233106810136;
PSD O1(alpha);eeg;PSD;O1;alpha;0.0354247830879;0.0157604332855;0.00526294907409;0.00134311457661;0.00524060901643;0.0266834630164;0.00120577360319;0.0221842028569;
DE O1(gamma);eeg;DE;O1;gamma;0.055210308023;0.0172864261467;0.000625416528297;0.0109148807398;0.000614678573991;0.0355321340548;0.00123308594359;0.0268905384267;
PSD O1(gamma);eeg;PSD;O1;gamma;0.0690709602715;0.0150149351698;0.00342760308518;0.00035964144825;0.00333630562296;0.0140117029915;0.00126041817029;0.0258208443602;
DE O1(delta);eeg;DE;O1;delta;0.0627556005245;0.0160168647085;0.00706505164566;0.0155971908156;0.00701443865963;0.0495305404307;0.00169561703643;0.0148472666763;
PSD O1(delta);eeg;PSD;O1;delta;0.0516052297732;0.0179893025356;0.0119789520401;0.00724354961556;0.0118822545169;0.0853234838584;0.00157755928237;0.0136853002108;
A/B Oz;eeg;AB;Oz;alpha & beta;0.0623892821036;0.0230534884401;0.0219346462391;0.0043552126563;0.021891801981;0.0861820667216;0.00264708462312;0.00828918491302;
DE Oz(theta);eeg;DE;Oz;theta;0.121912427258;0.022912535394;0.00367613355467;0.0037162805828;0.00364702551799;0.0154389355272;0.00168022101865;0.0218811843157;
PSD Oz(theta);eeg;PSD;Oz;theta;0.106521393836;0.0278402250961;0.0148849086702;0.0124672516399;0.0149379305979;0.0435610431304;0.00173284053546;0.0215597429294;
DE Oz(beta);eeg;DE;Oz;beta;0.0986021542439;0.0213960016179;0.00347496743286;0.00275110658687;0.00346696441206;0.0585224831348;0.00139111863535;0.0198235197059;
PSD Oz(beta);eeg;PSD;Oz;beta;0.103115221941;0.0250753773697;0.0083798934001;0.000806769138264;0.0084214968694;0.0400276043527;0.0014089154608;0.0193064221165;
DE Oz(alpha);eeg;DE;Oz;alpha;0.0766405725345;0.0204340174142;0.00551640316422;0.00440396122873;0.00548672896845;0.0848941384328;0.00191734559412;0.0207927770386;
PSD Oz(alpha);eeg;PSD;Oz;alpha;0.0503150232057;0.0165301298396;0.0130537290869;0.0188971443587;0.0129814904189;0.0390159786028;0.00192934674297;0.0206023646893;
DE Oz(gamma);eeg;DE;Oz;gamma;0.0815743755039;0.0183938225927;0.0113202730626;0.00153026631969;0.0113894317832;0.0330175335386;0.00163441258512;0.0269885679415;
PSD Oz(gamma);eeg;PSD;Oz;gamma;0.0700217192002;0.0240576871629;0.000932680425627;0.0133455485537;0.000935145724318;0.0548926457585;0.00157339372554;0.0265594913479;
DE Oz(delta);eeg;DE;Oz;delta;0.0953168968095;0.02078263011;0.00839721435912;0.000928134832514;0.00844072496173;0.0499851499563;0.00214974019551;0.0147366495242;
PSD Oz(delta);eeg;PSD;Oz;delta;0.0724910761442;0.0196829011147;0.00722723077816;0.00610604305332;0.00728140721881;0.099928448183;0.00197919789511;0.0121563274484;
A/B Pz;eeg;AB;Pz;alpha & beta;0.0426664766112;0.0167067204823;0.0111844023571;0.0;0.0112524872964;0.0332231339953;0.00206073635941;0.0176459261038;
DE Pz(theta);eeg;DE;Pz;theta;0.115682857945;0.0166709817647;0.00145045659913;0.00268119629033;0.00136678882251;0.0187039265057;0.00142534150861;0.0235859665896;
PSD Pz(theta);eeg;PSD;Pz;theta;0.100887967436;0.0232517697704;0.00340587620317;0.00426282786635;0.00349274962506;0.0148570291427;0.00142766063524;0.024123560949;
DE Pz(beta);eeg;DE;Pz;beta;0.107545485761;0.0183825445043;0.0059865470029;0.00853811712392;0.00598230698208;0.0107601446212;0.00116158796305;0.024002618669;
PSD Pz(beta);eeg;PSD;Pz;beta;0.108543008433;0.0226795775147;0.0048578929693;0.00851931415595;0.00480078842746;0.0160494765762;0.00118005349724;0.0240917188418;
DE Pz(alpha);eeg;DE;Pz;alpha;0.0655372160364;0.0157832656418;0.00752570297001;0.00806075010343;0.00753049289887;0.0243743582822;0.00162359979202;0.0215780339821;
PSD Pz(alpha);eeg;PSD;Pz;alpha;0.0548866903527;0.0204660220885;0.00356082938495;0.010290440709;0.00358865152323;0.067440895659;0.00152424707558;0.021541903837;
DE Pz(gamma);eeg;DE;Pz;gamma;0.0671775463111;0.0147078470741;0.00824776063841;0.00545216823219;0.00812374365924;0.00925063552366;0.000825451838274;0.0289514786731;
PSD Pz(gamma);eeg;PSD;Pz;gamma;0.0793673464759;0.0192666564252;0.00802930709438;0.00594713847104;0.00805181486358;0.0143838676976;0.000906658341632;0.0282996048362;
DE Pz(delta);eeg;DE;Pz;delta;0.0377227427512;0.0177893652722;0.010543311981;0.0164601703194;0.0104475083583;0.0606827434641;0.00184504504073;0.0113967529807;
PSD Pz(delta);eeg;PSD;Pz;delta;0.0446528459471;0.0202468163246;0.0188135576006;0.0121463766367;0.0188348361267;0.0892937815415;0.00172762295819;0.011856658629;
A/B Fp2;eeg;AB;Fp2;alpha & beta;0.0358411757556;0.0246192711966;0.00153086660569;0.0242607018868;0.0014745772194;0.0261489139783;0.00229550833471;0.0138710756481;
DE Fp2(theta);eeg;DE;Fp2;theta;0.0994967713843;0.0195900280681;0.00267520899777;0.00863491979182;0.00270892669876;0.0103255052239;0.00090597637803;0.0254738691541;
PSD Fp2(theta);eeg;PSD;Fp2;theta;0.10483283961;0.0270559194836;0.00449126968993;0.0126761139062;0.00443041636709;0.0227965125483;0.000934535366448;0.0249915649204;
DE Fp2(beta);eeg;DE;Fp2;beta;0.063467464476;0.0170542874683;0.0016140830024;0.00229632492695;0.0016204974257;0.01966553528;0.00100242822947;0.0199960480853;
PSD Fp2(beta);eeg;PSD;Fp2;beta;0.0429889907064;0.0209136923629;0.0117355507816;0.00371936225796;0.0117802372583;0.0254026366897;0.000886896753251;0.0196181839631;
DE Fp2(alpha);eeg;DE;Fp2;alpha;0.0709442169508;0.0200509675748;0.000987792777994;0.00404201817876;0.000999996567515;0.0265876987259;0.00122121797642;0.0235966671303;
PSD Fp2(alpha);eeg;PSD;Fp2;alpha;0.0633860399862;0.0203643135096;0.0100993908369;0.00896845399073;0.0101158072447;0.0653117088136;0.00119168946713;0.0234830719133;
DE Fp2(gamma);eeg;DE;Fp2;gamma;0.0541923719764;0.0177213474776;0.00630265302275;0.0;0.0063554489592;0.0271052543456;0.00078609996483;0.0289877617816;
PSD Fp2(gamma);eeg;PSD;Fp2;gamma;0.0738574344325;0.023895881198;0.012129231241;0.0276210505899;0.0120630892688;0.0151987383028;0.000846351943225;0.0282277713459;
DE Fp2(delta);eeg;DE;Fp2;delta;0.0802074963645;0.0210975197982;0.00575091301379;0.0163262641846;0.00582051768474;0.0765440986271;0.00200517800317;0.0159268212546;
PSD Fp2(delta);eeg;PSD;Fp2;delta;0.0664074130112;0.0299495655992;0.00284791476695;0.0011981381846;0.00288721229418;0.0554523817654;0.00178457182096;0.0141774732907;
A/B AF4;eeg;AB;AF4;alpha & beta;0.0165303413244;0.0246126956573;0.00625725088378;0.0181388578135;0.00619322039214;0.0564274356007;0.00236429523879;0.0103294009063;
DE AF4(theta);eeg;DE;AF4;theta;0.101787434839;0.0180811216519;0.00252610451154;0.00328148490663;0.00248490663422;0.0199752083088;0.00147600017964;0.0241608211133;
PSD AF4(theta);eeg;PSD;AF4;theta;0.109600741293;0.0174674964643;0.00387529662562;0.0;0.00387562304116;0.0172966603256;0.00139009525528;0.0235530855242;
DE AF4(beta);eeg;DE;AF4;beta;0.0848924304876;0.0227413787906;0.00921069359211;0.0134975715543;0.00916865490668;0.0178835207679;0.00138800587134;0.0242361603389;
PSD AF4(beta);eeg;PSD;AF4;beta;0.101856088021;0.0136733051513;0.000444215606114;0.000355052988492;0.000389446883657;0.00966181704064;0.00133393200879;0.0250694298483;
DE AF4(alpha);eeg;DE;AF4;alpha;0.0540314224697;0.0183214912924;0.0148705546902;0.00113698576029;0.0148332609687;0.051584414849;0.00161235738645;0.0185592856104;
PSD AF4(alpha);eeg;PSD;AF4;alpha;0.0587936947284;0.01851091202;0.0065844848804;0.00786368864252;0.0065826203208;0.0346968825456;0.00165257221247;0.019644721903;
DE AF4(gamma);eeg;DE;AF4;gamma;0.089112565236;0.0155926251126;0.0123189314544;0.0136011538132;0.0122919353403;0.0311022574238;0.00120258510617;0.0301585000598;
PSD AF4(gamma);eeg;PSD;AF4;gamma;0.0904555738139;0.0173363826099;0.00709619644524;0.0;0.00708093267687;0.0146936458842;0.00114172304515;0.0303799104122;
DE AF4(delta);eeg;DE;AF4;delta;0.0884966468431;0.0174259327548;0.00579410647947;0.00874149617645;0.00580365942479;0.0548574655653;0.0017358726264;0.0123053112852;
PSD AF4(delta);eeg;PSD;AF4;delta;0.103955349179;0.021896529636;0.028231413597;0.043349241074;0.0281993355467;0.064913249531;0.00164365034198;0.0119309628184;
A/B Fz;eeg;AB;Fz;alpha & beta;0.0105234567892;0.0154705552425;0.000798213578775;0.00984321633634;0.000738914663054;0.027482347482;0.00231395063266;0.0133018589;
DE Fz(theta);eeg;DE;Fz;theta;0.0951179229564;0.0108608982317;0.00432644274937;0.00228158507425;0.0043333847805;0.0128918156271;0.00119149305089;0.0278225084207;
PSD Fz(theta);eeg;PSD;Fz;theta;0.0997289439967;0.0211088234606;0.00921716488715;0.0;0.00923171183734;0.0235599355076;0.00111363022437;0.0265835047305;
DE Fz(beta);eeg;DE;Fz;beta;0.0876301035853;0.0126217361871;0.00264950252549;0.0;0.0026505353774;0.0135584254551;0.00105571236305;0.0260654174178;
PSD Fz(beta);eeg;PSD;Fz;beta;0.0821145145173;0.0189778777556;0.00453593891379;0.0103080383706;0.00459330283327;0.0198009466768;0.00109462672028;0.0267557700735;
DE Fz(alpha);eeg;DE;Fz;alpha;0.0533340341729;0.0127063206853;0.00200569753728;0.00357433828212;0.00212326353157;0.0442610770844;0.00160916269871;0.0235886965793;
PSD Fz(alpha);eeg;PSD;Fz;alpha;0.0576496695036;0.0164038294226;0.0080636498502;0.00109374616732;0.0080635120666;0.0487581269442;0.00148766696429;0.0254943094477;
DE Fz(gamma);eeg;DE;Fz;gamma;0.0546277150762;0.0112726630126;0.0083807054725;0.00555660466833;0.00838819829145;0.0365645357983;0.00122331020262;0.0302948158261;
PSD Fz(gamma);eeg;PSD;Fz;gamma;0.0808066471477;0.0233479629555;0.0164380553746;0.0207479648566;0.0164441847821;0.0457702256225;0.00116429506211;0.0301747642226;
DE Fz(delta);eeg;DE;Fz;delta;0.0643601359839;0.0142606603808;0.00286354892006;0.00884432043034;0.00290348115673;0.0583670374532;0.00146483883706;0.0161640985835;
PSD Fz(delta);eeg;PSD;Fz;delta;0.049096665578;0.0188887726681;0.00253600068994;0.0;0.0025972430629;0.0442647619116;0.00150503334708;0.0145748375208;
A/B F4;eeg;AB;F4;alpha & beta;0.0660481025134;0.0163136779701;0.00334849402924;0.00744212873944;0.00325995870294;0.0232734404498;0.00158151388122;0.0129687823655;
DE F4(theta);eeg;DE;F4;theta;0.0780800036662;0.0135800965794;0.00963391593996;0.0167120572909;0.00964228594968;0.0507550209582;0.000946090187825;0.0254683767366;
PSD F4(theta);eeg;PSD;F4;theta;0.0508620297528;0.0179420306223;0.0130330981615;0.00936454553429;0.0129961575417;0.0139880551771;0.000807565534583;0.024731048241;
DE F4(beta);eeg;DE;F4;beta;0.0568733353364;0.013163128601;0.00869787021553;0.0154890783855;0.00875155000686;0.0163386657097;0.000976370035205;0.022321701007;
PSD F4(beta);eeg;PSD;F4;beta;0.0678992698981;0.0172068874331;0.00465069091204;0.0109137244688;0.00467284346688;0.0211862341222;0.00101816266803;0.0234016062907;
DE F4(alpha);eeg;DE;F4;alpha;0.000157832238476;0.0162021424517;0.0159377422778;0.00222316141428;0.0159531635255;0.0118267371499;0.00112226215842;0.0223993506422;
PSD F4(alpha);eeg;PSD;F4;alpha;0.00622039061052;0.0178437635613;0.0087671362349;0.0142748353695;0.00874217028496;0.0293319983491;0.00124370628548;0.0232487156081;
DE F4(gamma);eeg;DE;F4;gamma;0.00991993489561;0.00959512947823;0.00356775569956;0.00059397675947;0.00349327636321;0.0301157709217;0.000923456266686;0.0276505207613;
PSD F4(gamma);eeg;PSD;F4;gamma;0.0217292714003;0.0154401647849;0.00954983000854;0.0177604686681;0.00954478107769;0.0126534657901;0.000983622790484;0.0257014595922;
DE F4(delta);eeg;DE;F4;delta;0.0313322786049;0.0119763936405;0.011505854384;0.00435718320453;0.0115722674796;0.0290793388591;0.00121432373504;0.0133399126353;
PSD F4(delta);eeg;PSD;F4;delta;0.0416920619366;0.0197424838173;0.00943938334108;0.0101212132122;0.0094683112565;0.0550305655676;0.0012229115596;0.0133850344208;
A/B F8;eeg;AB;F8;alpha & beta;0.0268233169451;0.0166181390165;0.00624047221182;0.0017453483316;0.00615169174314;0.0522728873495;0.00230814801898;0.0155395440584;
DE F8(theta);eeg;DE;F8;theta;0.116636269487;0.0212199871121;0.0060359947802;0.0129290265867;0.00598817676096;0.0194764902783;0.00129037344018;0.0272043226289;
PSD F8(theta);eeg;PSD;F8;theta;0.114536746481;0.0204985647275;0.0107663535677;0.0180489476717;0.0107458157852;0.0376005919832;0.00137747869471;0.027064614737;
DE F8(beta);eeg;DE;F8;beta;0.0783293848218;0.017307112702;0.00902189018889;0.0163973437197;0.00898345703357;0.0446757669658;0.00143780596988;0.0218247516183;
PSD F8(beta);eeg;PSD;F8;beta;0.0829543850395;0.0197629057467;0.00892727249342;0.0;0.00888582551293;0.0185955666645;0.00130204523287;0.0210758707602;
DE F8(alpha);eeg;DE;F8;alpha;0.0703914359263;0.0194151416437;0.00721550753934;0.00357965343542;0.0071623857414;0.0132415679553;0.00123518567945;0.0246362187585;
PSD F8(alpha);eeg;PSD;F8;alpha;0.0607291557625;0.0246429020435;0.00998787445188;0.0163591333875;0.00994293527233;0.0586923227334;0.00120116177288;0.0247395918547;
DE F8(gamma);eeg;DE;F8;gamma;0.0729758477864;0.0154234308675;0.00753691213579;0.00165370737618;0.00752011363618;0.0215977440202;0.00110446593093;0.0302729018893;
PSD F8(gamma);eeg;PSD;F8;gamma;0.0758159626828;0.0177374361506;0.0121527090946;0.00764157144056;0.0121523934058;0.00998671415793;0.00110608201089;0.030398655998;
DE F8(delta);eeg;DE;F8;delta;0.0888109570074;0.0197451550958;0.00519255745284;0.0209425845664;0.0052262319186;0.0550179619175;0.00191799726585;0.0162344501333;
PSD F8(delta);eeg;PSD;F8;delta;0.0961417449456;0.0199142886798;0.00723911124395;0.00597723232513;0.00721116779068;0.0440324962736;0.00167368412979;0.0152018677082;
A/B FC6;eeg;AB;FC6;alpha & beta;0.085047052683;0.016903106262;0.0212340710509;0.0362505123621;0.0212213988808;0.0692154842498;0.00263928865627;0.013971382278;
DE FC6(theta);eeg;DE;FC6;theta;0.113295254723;0.0164184199426;0.0101050494153;0.00480252231373;0.0101886738464;0.0135483781129;0.00117782273599;0.0249349204034;
PSD FC6(theta);eeg;PSD;FC6;theta;0.0901341183215;0.0172900343024;0.00184355613068;0.0145541529398;0.00186150274232;0.0103052022757;0.00115101540832;0.023851002946;
DE FC6(beta);eeg;DE;FC6;beta;0.0780647959424;0.0187346431911;0.00844404452833;0.00651444118911;0.00849303370715;0.0110759354519;0.00100138993857;0.022506197709;
PSD FC6(beta);eeg;PSD;FC6;beta;0.0771859312827;0.0181788109415;0.000921890004501;0.00469206562934;0.000938834890632;0.0212868520801;0.00105378399829;0.0221048386077;
DE FC6(alpha);eeg;DE;FC6;alpha;0.0382529777642;0.0203238596017;0.00165171855494;0.00943936559268;0.00162946673048;0.0590674622902;0.00150672992633;0.0218504462336;
PSD FC6(alpha);eeg;PSD;FC6;alpha;0.0218713443851;0.0190295289193;0.00556160865606;0.000616423677249;0.005579551581;0.0354977101544;0.00150714879017;0.0195941997647;
DE FC6(gamma);eeg;DE;FC6;gamma;0.0567727514763;0.0212242556599;0.00467896286658;0.00849158070149;0.0047423054188;0.0109894571076;0.00103844468597;0.0270483702542;
PSD FC6(gamma);eeg;PSD;FC6;gamma;0.0465306521805;0.0173666279858;0.00665083554953;0.00329394910061;0.006670911872;0.0125750678264;0.00100684001791;0.0273767666952;
DE FC6(delta);eeg;DE;FC6;delta;0.0582139796357;0.0162237433104;0.00518580878853;0.0025142008112;0.00522283421961;0.0314884478565;0.00142487861952;0.0157882148199;
PSD FC6(delta);eeg;PSD;FC6;delta;0.0337436911274;0.0188824181616;0.0111945731755;0.023557752738;0.0112319417017;0.0816587523379;0.00144344447282;0.0168063736064;
A/B FC2;eeg;AB;FC2;alpha & beta;0.0406105198661;0.0152123754618;0.0177467234008;0.0249580495625;0.0177887866721;0.0336494862571;0.00215941104482;0.0139747511923;
DE FC2(theta);eeg;DE;FC2;theta;0.105957161223;0.0174132349434;0.00290809464563;0.000330546496695;0.00296724836948;0.0153639459371;0.0014522934975;0.0287183856175;
PSD FC2(theta);eeg;PSD;FC2;theta;0.0963170614355;0.020246579263;0.00572103828053;0.00400421823249;0.00579298069491;0.0263493757948;0.00147511304236;0.0270700866567;
DE FC2(beta);eeg;DE;FC2;beta;0.0664955968077;0.0159062851167;0.00241397895472;0.0;0.00240934667807;0.00780488762786;0.00119964508502;0.021707301177;
PSD FC2(beta);eeg;PSD;FC2;beta;0.0712433228486;0.019256223253;0.00313481203409;0.000132841254163;0.00315781119501;0.0058542247487;0.00122424852519;0.0217009193949;
DE FC2(alpha);eeg;DE;FC2;alpha;0.0508803069847;0.0144693000249;0.00342944473846;0.0228670090378;0.00339742012959;0.0131735286381;0.00101427422275;0.02466069178;
PSD FC2(alpha);eeg;PSD;FC2;alpha;0.0481284741755;0.0229128287457;0.00179986479853;0.0201257792944;0.00177807788806;0.0358037059828;0.00109779085013;0.0231344150411;
DE FC2(gamma);eeg;DE;FC2;gamma;0.0848377871177;0.0161341898595;0.00583520135962;0.014985693533;0.00587370055331;0.0460248505046;0.00149156088781;0.0272979992709;
PSD FC2(gamma);eeg;PSD;FC2;gamma;0.0659114042781;0.0227236030631;0.0167659421285;0.0145537444255;0.0167389116167;0.0455313351305;0.00132410854551;0.027846517169;
DE FC2(delta);eeg;DE;FC2;delta;0.0772885532603;0.0266288685885;0.00102807929197;0.00019414834544;0.000982470289048;0.0303065754644;0.00212833860243;0.0176260612399;
PSD FC2(delta);eeg;PSD;FC2;delta;0.0847900426674;0.027852708232;0.00901683483549;0.0389936997434;0.00902971069543;0.0476283917429;0.00220035179103;0.0153027996533;
A/B Cz;eeg;AB;Cz;alpha & beta;0.0224630034228;0.0206529663912;0.0085387219147;0.00938960053783;0.00846288233813;0.040261905668;0.00217702176049;0.0134992863721;
DE Cz(theta);eeg;DE;Cz;theta;0.115695806045;0.022655783671;0.0114024236997;0.0;0.0113693693687;0.0285998927674;0.00116390449596;0.0260800854605;
PSD Cz(theta);eeg;PSD;Cz;theta;0.0875626438453;0.021529858764;0.0137333087334;0.0362475733252;0.0136844761112;0.0179350897533;0.00110262113799;0.0252576821608;
DE Cz(beta);eeg;DE;Cz;beta;0.0883163099841;0.0185934251613;0.00927832287221;0.00351830168235;0.00927678415736;0.0226713223377;0.00109443455288;0.022381670708;
PSD Cz(beta);eeg;PSD;Cz;beta;0.0939365044306;0.0198854482192;0.0177121047107;0.0286332862179;0.0176634590509;0.0162416537522;0.00112630267942;0.0214529013757;
DE Cz(alpha);eeg;DE;Cz;alpha;0.098380629221;0.0192807372454;0.0190865886108;0.0144621790375;0.0190370633318;0.0426498183454;0.00226382184552;0.0248988061629;
PSD Cz(alpha);eeg;PSD;Cz;alpha;0.0878695527276;0.0213756953567;0.000477088281575;0.00684596435101;0.000391944302296;0.0444048715293;0.00230942124331;0.0237152181153;
DE Cz(gamma);eeg;DE;Cz;gamma;0.0830152419652;0.0167025824854;0.0115744304678;0.014271951671;0.0116102633294;0.0448392635697;0.00154732030156;0.0310979294589;
PSD Cz(gamma);eeg;PSD;Cz;gamma;0.0690787899861;0.0174328927517;0.00632366062166;0.00825996032254;0.00628229527926;0.0320963830888;0.00137577366185;0.0315635508595;
DE Cz(delta);eeg;DE;Cz;delta;0.0716651530163;0.0224731807961;0.00771154400617;0.0288463657176;0.00773803567282;0.106856199138;0.00219228972105;0.0164015100941;
PSD Cz(delta);eeg;PSD;Cz;delta;0.0824200595474;0.0230705204946;0.0148111177375;0.0186209959667;0.01476654504;0.0377523746263;0.00220480955801;0.015954454407;
A/B C4;eeg;AB;C4;alpha & beta;0.0134599013795;0.0176462262672;0.000790636368714;0.0120049365684;0.000829060240492;0.0572222605912;0.00213609131987;0.0107183952844;
DE C4(theta);eeg;DE;C4;theta;0.124332764331;0.0207451602687;0.00248848305663;0.012582359176;0.00251109841924;0.010170913691;0.00130234846241;0.0231584723453;
PSD C4(theta);eeg;PSD;C4;theta;0.118648551569;0.0239282687635;0.00556653585676;0.0074346278011;0.00555535431753;0.0337570652418;0.00137524759442;0.022742510908;
DE C4(beta);eeg;DE;C4;beta;0.122512618099;0.0227110785032;0.00301852222372;0.00879950730328;0.0030083798034;0.0160091533725;0.00132438291532;0.0192570560121;
PSD C4(beta);eeg;PSD;C4;beta;0.11309803634;0.0237421415907;0.00292930637215;0.0133126442299;0.00288630955533;0.0170981569914;0.00147250746094;0.0184224715709;
DE C4(alpha);eeg;DE;C4;alpha;0.0785381226951;0.0227122085551;0.0141988911641;0.000612683585608;0.0142604773445;0.0625829762604;0.00220036294129;0.0202048559048;
PSD C4(alpha);eeg;PSD;C4;alpha;0.0896280066235;0.0219057107134;0.00142458661662;0.0116584048623;0.00147548511343;0.0816057967688;0.00224659656551;0.0204324700753;
DE C4(gamma);eeg;DE;C4;gamma;0.0901079502061;0.0132631331096;0.00587401981511;0.00334100607373;0.00582459916749;0.0127405783018;0.00135684146363;0.0254088409236;
PSD C4(gamma);eeg;PSD;C4;gamma;0.082875540025;0.0173046150084;0.0144929149638;0.0103151828689;0.0144641930971;0.0403902018479;0.0013162163038;0.0248530319612;
DE C4(delta);eeg;DE;C4;delta;0.0971316381109;0.0243479469177;0.0012902857766;0.00119888668769;0.00131209501941;0.0669098704349;0.00194357411942;0.0146888805006;
PSD C4(delta);eeg;PSD;C4;delta;0.0722611782421;0.0267489143947;0.0094394371809;0.00019401818723;0.00940999885875;0.0739909051081;0.0019134216845;0.0149502041467;
A/B T8;eeg;AB;T8;alpha & beta;0.0214807652993;0.0228523918393;0.000379230322046;0.0111636486974;0.000419421948968;0.066511777928;0.00224588779267;0.00988167049492;
DE T8(theta);eeg;DE;T8;theta;0.0902024544692;0.0242317355247;0.0044340199688;0.0;0.00448645637021;0.021384217941;0.00107253337611;0.0207507640104;
PSD T8(theta);eeg;PSD;T8;theta;0.0741239354242;0.0249570219244;0.00989220984843;0.00291521681792;0.00992262010823;0.0257082481263;0.00109157511432;0.020425405556;
DE T8(beta);eeg;DE;T8;beta;0.0899162786519;0.023907982238;0.00668810404221;0.00144925940475;0.00665896606479;0.0137766936498;0.00101606264191;0.0207603650905;
PSD T8(beta);eeg;PSD;T8;beta;0.072558301456;0.0257069377494;0.0108360349583;0.0329573069697;0.0108245863968;0.0532642924141;0.000985288757843;0.0209822738259;
DE T8(alpha);eeg;DE;T8;alpha;0.0609735146074;0.0231146080877;0.0161015101573;0.0125516503369;0.0160849922403;0.0157095924229;0.00151707574386;0.0166618110635;
PSD T8(alpha);eeg;PSD;T8;alpha;0.0727793499145;0.0262454610526;0.0109869116404;0.00289389518041;0.0110054516191;0.113755140205;0.00144237009428;0.0169045435495;
DE T8(gamma);eeg;DE;T8;gamma;0.0588664071717;0.0230810944919;0.0116489054753;0.011779415103;0.0116346386557;0.0233947064053;0.00120922363358;0.0239888214573;
PSD T8(gamma);eeg;PSD;T8;gamma;0.0444473260707;0.0234079620993;0.0114008574473;0.0148495088627;0.0114131831519;0.0413465653034;0.00137080851981;0.0239697736714;
DE T8(delta);eeg;DE;T8;delta;0.0401455174753;0.0179100586577;0.000230816829759;0.0308434649029;0.000228670480972;0.0775266571224;0.00155803288614;0.0133452376246;
PSD T8(delta);eeg;PSD;T8;delta;0.0475847972575;0.0225871402431;0.0122538169806;0.062032594163;0.0123450465563;0.0739928208053;0.00148787619821;0.0121378590205;
A/B CP6;eeg;AB;CP6;alpha & beta;0.0183323402703;0.0181425148208;0.00429070210558;0.0369857732174;0.00426814543334;0.0494644976483;0.00222693067575;0.0127114146289;
DE CP6(theta);eeg;DE;CP6;theta;0.105187812291;0.0177481172312;0.0115781380384;0.00808260398104;0.0115618381939;0.038759181924;0.00127320188046;0.0274000118415;
PSD CP6(theta);eeg;PSD;CP6;theta;0.10041741558;0.0231442512662;0.00185251267591;0.0109347638665;0.00185781319044;0.0314059876753;0.0011906317658;0.0268496485516;
DE CP6(beta);eeg;DE;CP6;beta;0.0802270749852;0.0158503841014;0.00256405924892;0.0064305758154;0.00251657538505;0.0208640483808;0.00097629242809;0.0223924865986;
PSD CP6(beta);eeg;PSD;CP6;beta;0.0851501030043;0.0245851056191;0.00557987747356;0.0;0.00558442139068;0.020666520067;0.0010260508249;0.0227970626545;
DE CP6(alpha);eeg;DE;CP6;alpha;0.0481286940879;0.026817821846;0.00222188344167;0.00252060506626;0.00217175007027;0.0253182200946;0.00153893521397;0.0237181143076;
PSD CP6(alpha);eeg;PSD;CP6;alpha;0.058986458373;0.0236486717428;0.00102441400996;3.08235162551e-05;0.00106705467063;0.0330501062834;0.00152921497869;0.0222543289462;
DE CP6(gamma);eeg;DE;CP6;gamma;0.0934331302399;0.0175876596402;0.0101561700967;0.0;0.0101214107136;0.00647025644136;0.00116639972483;0.026997988099;
PSD CP6(gamma);eeg;PSD;CP6;gamma;0.0827278891581;0.0190076198638;0.00310809466505;0.005979075176;0.0030938139234;0.0227061860814;0.00106197388839;0.0275034236677;
DE CP6(delta);eeg;DE;CP6;delta;0.0426461464681;0.0171305727879;0.01324946604;0.0206128303105;0.0132145131758;0.0300006615553;0.0017181531531;0.0146269752869;
PSD CP6(delta);eeg;PSD;CP6;delta;0.055219870068;0.023208975199;0.0212832453562;0.0194646974542;0.0213895885939;0.0774462134689;0.00186762304332;0.0126740275899;
A/B CP2;eeg;AB;CP2;alpha & beta;0.034900435466;0.018796509602;0.0066481579394;0.0258211221616;0.00662097210093;0.042707328793;0.00231634371958;0.0153684174251;
DE CP2(theta);eeg;DE;CP2;theta;0.0984958828153;0.015569841168;0.00990880557265;0.00774691974879;0.0100167187621;0.0237185331807;0.000930809234597;0.026732831905;
