featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
DE Oz(alpha);eeg;DE;Oz;alpha;0.180053486363;0.00836856612759;0.00748157325748;0.00837004802022;0.0672815614931;0.00129410047433;0.045295179382;
PSD Oz(alpha);eeg;PSD;Oz;alpha;0.17359522152;0.00631809227493;0.00407696761163;0.00632253269054;0.0266881925144;0.00145385315884;0.044897829113;
DE Oz(theta);eeg;DE;Oz;theta;0.199579404742;0.00911793538577;0.0104546994631;0.0091040529669;0.0672989093582;0.00215570785974;0.0359608631924;
PSD Oz(theta);eeg;PSD;Oz;theta;0.194071883215;0.0123835869063;0.00712440037851;0.012386985409;0.100625895059;0.00223652415479;0.0361619869543;
DE Oz(delta);eeg;DE;Oz;delta;0.17979228017;0.00556125260201;0.00296890537341;0.00556746733907;0.0148226246471;0.0014999920836;0.0392434560921;
PSD Oz(delta);eeg;PSD;Oz;delta;0.177619631034;0.00908547675106;0.00886017832708;0.00908683490619;0.0461256142937;0.00144121559786;0.0377299540885;
A/B Pz;eeg;AB;Pz;alpha & beta;0.158162114789;0.00914213229711;0.0;0.0091293612414;0.0332231339953;0.00196666298808;0.0297387668666;
DE Pz(beta);eeg;DE;Pz;beta;0.177245274909;0.00617048574336;0.000224881923148;0.00618483886934;0.0195676456907;0.00158549979194;0.0424543039103;
PSD Pz(beta);eeg;PSD;Pz;beta;0.179963181981;0.00628695928789;0.0;0.00628919824626;0.0184466043608;0.00166058229836;0.0436483594716;
DE Pz(gamma);eeg;DE;Pz;gamma;0.184795410538;0.00458252086232;0.0;0.00458055591966;0.0135776591117;0.00123854135424;0.0478156882342;
PSD Pz(gamma);eeg;PSD;Pz;gamma;0.187753776768;0.0049740888913;0.00238834910978;0.00497650265732;0.0367519233749;0.00107473094253;0.0481514366428;
DE Pz(alpha);eeg;DE;Pz;alpha;0.17839414385;0.00404641306897;0.000330029574411;0.0040464086296;0.00770804070871;0.00107722096285;0.0468414001044;
PSD Pz(alpha);eeg;PSD;Pz;alpha;0.171376990566;0.00746675084036;0.00234482430712;0.00746135340376;0.0410058256238;0.00108725810558;0.0466426333517;
DE Pz(theta);eeg;DE;Pz;theta;0.174990601288;0.00714297629467;0.00336894976957;0.00713239841372;0.0402071220795;0.00127958611624;0.0396404418851;
PSD Pz(theta);eeg;PSD;Pz;theta;0.177568767868;0.0110361204929;0.00599554985505;0.0110481909886;0.0793375045483;0.00128299485534;0.0395401111349;
DE Pz(delta);eeg;DE;Pz;delta;0.16257161667;0.00698004783155;0.00545266924223;0.00698347642865;0.0427113408064;0.00176268902825;0.0404618307965;
PSD Pz(delta);eeg;PSD;Pz;delta;0.170197914477;0.00812510361988;0.00329911113608;0.00812833937642;0.0264831927093;0.00170307091565;0.0395971859572;
A/B Fp2;eeg;AB;Fp2;alpha & beta;0.175892241358;0.00732704412088;0.00348801191038;0.007326604415;0.0261489139783;0.00241667784151;0.0264741873816;
DE Fp2(beta);eeg;DE;Fp2;beta;0.174468812952;0.00657937756739;0.00641835214292;0.0065875180865;0.043772765104;0.0013228302431;0.0428006618904;
PSD Fp2(beta);eeg;PSD;Fp2;beta;0.170329148088;0.00902162800952;0.00865158021415;0.0090174741391;0.0512429542196;0.00137569517891;0.0428282378958;
DE Fp2(gamma);eeg;DE;Fp2;gamma;0.180041903343;0.00528391184842;0.00231206707423;0.00528600182333;0.0260806570488;0.00125710922867;0.048979004955;
PSD Fp2(gamma);eeg;PSD;Fp2;gamma;0.168929266842;0.00358311387971;0.0;0.00358394099327;0.00837088746191;0.00120535920905;0.0475583035462;
DE Fp2(alpha);eeg;DE;Fp2;alpha;0.17586013943;0.00381192599918;0.00450181976402;0.00380927417435;0.0103971141513;0.000850630831491;0.0493916555474;
PSD Fp2(alpha);eeg;PSD;Fp2;alpha;0.175904861706;0.00500809477195;0.00151911054781;0.0049863160027;0.014275579316;0.000918621529328;0.0497564039401;
DE Fp2(theta);eeg;DE;Fp2;theta;0.164814164942;0.00705336312534;0.00375243364666;0.00704780150657;0.0372314214517;0.00106583728065;0.0425757118624;
PSD Fp2(theta);eeg;PSD;Fp2;theta;0.174918790919;0.00797235084646;0.00124523840671;0.00796966615681;0.0285148810402;0.00116226845493;0.0423058875619;
DE Fp2(delta);eeg;DE;Fp2;delta;0.165356954602;0.00669006821954;0.00612042691686;0.00668618359015;0.0427461344466;0.00124745422698;0.0448120027171;
PSD Fp2(delta);eeg;PSD;Fp2;delta;0.162415729475;0.00956999070404;0.00867748309629;0.00959151606049;0.0817576760821;0.00123503059422;0.0443962200327;
A/B AF4;eeg;AB;AF4;alpha & beta;0.173750978532;0.0106451768246;0.00564921015445;0.0106461657634;0.0564274356007;0.00236469858874;0.0233381304429;
DE AF4(beta);eeg;DE;AF4;beta;0.155419970491;0.00700673546085;0.00176804554961;0.00699177487839;0.0251729438081;0.00159128079129;0.0402597830931;
PSD AF4(beta);eeg;PSD;AF4;beta;0.18203077518;0.00770647228051;0.0036619618062;0.00769174827316;0.040287863426;0.00152519762772;0.0400424254308;
DE AF4(gamma);eeg;DE;AF4;gamma;0.175661144442;0.00535385929187;0.00227496974947;0.00536158609404;0.0213011250293;0.00157089449353;0.0428005843498;
PSD AF4(gamma);eeg;PSD;AF4;gamma;0.176288805729;0.00508412418685;0.00267016858719;0.00507638331105;0.0143052134252;0.00151050648573;0.042321930461;
DE AF4(alpha);eeg;DE;AF4;alpha;0.153534866946;0.00478842505468;0.0011371585287;0.00479560483395;0.0100176236689;0.00116539250914;0.0425798909228;
PSD AF4(alpha);eeg;PSD;AF4;alpha;0.164578439846;0.00605910763789;0.0;0.00605041548292;0.0108987092657;0.00110250008005;0.0422315755429;
DE AF4(theta);eeg;DE;AF4;theta;0.16092763667;0.00946999561092;0.0109276278323;0.00947974873608;0.0646531857955;0.0015089842;0.0386939985567;
PSD AF4(theta);eeg;PSD;AF4;theta;0.168872335936;0.00787601239303;0.0;0.00785704553642;0.0282957518532;0.00151456276223;0.0390223031072;
DE AF4(delta);eeg;DE;AF4;delta;0.150707961202;0.00747346584132;0.00595833576226;0.00746754238707;0.054257988613;0.00142894027622;0.0372574791922;
PSD AF4(delta);eeg;PSD;AF4;delta;0.156522026569;0.00781754187567;0.00157488456363;0.00781842724147;0.0474747173569;0.00137926159179;0.0375942291292;
A/B Fz;eeg;AB;Fz;alpha & beta;0.1428598754;0.00732717938157;0.00216940159929;0.00732257122787;0.027482347482;0.00202543840688;0.0282063017717;
DE Fz(beta);eeg;DE;Fz;beta;0.165024711587;0.00593980002218;0.000198778578849;0.00594306502037;0.0285369013207;0.00151089790777;0.0428512367189;
PSD Fz(beta);eeg;PSD;Fz;beta;0.176403766154;0.00846506669053;0.00737938489877;0.0084723245589;0.0412220537605;0.00138707728918;0.0418411439875;
DE Fz(gamma);eeg;DE;Fz;gamma;0.167553351937;0.00435465080417;0.0;0.00434452237477;0.0121191331183;0.00109493752217;0.0476649774523;
PSD Fz(gamma);eeg;PSD;Fz;gamma;0.183162743635;0.00597849136183;0.0019067959641;0.00598408145295;0.0319612514036;0.00104181933585;0.0474361623784;
DE Fz(alpha);eeg;DE;Fz;alpha;0.187494764916;0.00492514990386;0.00133723673959;0.00492270759076;0.0292785440065;0.0013055930305;0.0480442939113;
PSD Fz(alpha);eeg;PSD;Fz;alpha;0.18255137674;0.00678224999822;0.00145571150906;0.00679322684965;0.0328994518537;0.0014599734164;0.0472539502468;
DE Fz(theta);eeg;DE;Fz;theta;0.184751096058;0.00776473482041;0.00690459983031;0.00776932249209;0.0496455575431;0.00118833089303;0.0419316258204;
PSD Fz(theta);eeg;PSD;Fz;theta;0.179906412101;0.0092681766859;0.00497977413663;0.00926414413959;0.0581861321349;0.00119885276398;0.0418310984841;
DE Fz(delta);eeg;DE;Fz;delta;0.168305240783;0.00764206421448;0.00613735734239;0.00764822967572;0.0460627554294;0.00140157320332;0.0435373468586;
PSD Fz(delta);eeg;PSD;Fz;delta;0.169712281899;0.00566265474523;0.00162434942399;0.00566281674943;0.0178851075101;0.00145841200474;0.0434804230865;
A/B F4;eeg;AB;F4;alpha & beta;0.132264581069;0.00723296313344;0.00741480026991;0.00722814772477;0.0232734404498;0.00164391008994;0.0266761590353;
DE F4(beta);eeg;DE;F4;beta;0.14633588621;0.00779405945097;0.00316530774519;0.00776896341358;0.0486556872661;0.00109510005612;0.0395026947205;
PSD F4(beta);eeg;PSD;F4;beta;0.153877929107;0.00730131213568;0.00198676419511;0.00730568527566;0.0279249451426;0.0010169830031;0.0388821087928;
DE F4(gamma);eeg;DE;F4;gamma;0.162600500662;0.00431945557534;0.000114541710586;0.00433431250608;0.0135199413566;0.000792337635384;0.0458436245543;
PSD F4(gamma);eeg;PSD;F4;gamma;0.171851282733;0.00462251035728;0.00165421106674;0.00463333765942;0.0308976865629;0.000792752046939;0.0461781355503;
DE F4(alpha);eeg;DE;F4;alpha;0.160865530255;0.00366296710841;0.000854311562407;0.00365529831469;0.00946909798814;0.0008967472014;0.048233005427;
PSD F4(alpha);eeg;PSD;F4;alpha;0.160034691488;0.00496805090222;0.00435900434955;0.00495496021659;0.0132142958701;0.000949605061372;0.0467195045325;
DE F4(theta);eeg;DE;F4;theta;0.164546897611;0.00670875569302;0.00366725272887;0.00670535273583;0.0373034610848;0.00118933304703;0.0410674079559;
PSD F4(theta);eeg;PSD;F4;theta;0.169697335523;0.00949466501555;0.00723289674344;0.00949154726603;0.0363932333624;0.00121422376565;0.040454006779;
DE F4(delta);eeg;DE;F4;delta;0.157925862442;0.00667269743259;0.00377669616028;0.00668098510112;0.0291673459028;0.00119961260237;0.04001561472;
PSD F4(delta);eeg;PSD;F4;delta;0.158051955642;0.00653201572947;0.00667229526637;0.00651813296521;0.023760158068;0.00109691952894;0.0390248657553;
A/B F8;eeg;AB;F8;alpha & beta;0.168948791318;0.0100091198225;0.0079285039184;0.0100080317538;0.0522728873495;0.00238447343606;0.0280823430469;
DE F8(beta);eeg;DE;F8;beta;0.188412994596;0.00728468189862;0.00874967777867;0.00728200097443;0.0409086367415;0.00161278914055;0.0425958791368;
PSD F8(beta);eeg;PSD;F8;beta;0.185168486807;0.0103155583781;0.00595607166771;0.0103139970356;0.0853090337028;0.0016245767467;0.0418450835433;
DE F8(gamma);eeg;DE;F8;gamma;0.191270305114;0.0063114003436;0.0067395646812;0.00630965225883;0.0422278107103;0.00144976057985;0.0476661048776;
PSD F8(gamma);eeg;PSD;F8;gamma;0.188873623553;0.00503843395999;0.00302639814186;0.00504043521918;0.0219215233489;0.00142748129891;0.0466227054846;
DE F8(alpha);eeg;DE;F8;alpha;0.197701581503;0.00544594087306;0.00154332097046;0.00543243994843;0.0121809127448;0.00120792196215;0.0498577469909;
PSD F8(alpha);eeg;PSD;F8;alpha;0.204112202124;0.00632667369412;0.00407361616804;0.00630496048781;0.0207146230974;0.00122764476374;0.0489067204417;
DE F8(theta);eeg;DE;F8;theta;0.171846992281;0.00801139909978;0.00142579333327;0.00801761159097;0.0376236673606;0.00110229347867;0.0411080656314;
PSD F8(theta);eeg;PSD;F8;theta;0.173217143325;0.00780665094737;0.00485969724565;0.00780917115516;0.0315455457722;0.0011299381889;0.0397253881231;
DE F8(delta);eeg;DE;F8;delta;0.14662713548;0.00557114099522;0.000394915779745;0.00557437461141;0.0210685035799;0.00130901972262;0.041067123075;
PSD F8(delta);eeg;PSD;F8;delta;0.169360001547;0.00633670819083;0.0012079903747;0.00632347825516;0.00941696589138;0.00111581069011;0.0410278745166;
A/B FC6;eeg;AB;FC6;alpha & beta;0.174729587204;0.010329718179;0.0045902433194;0.0103326928138;0.0692154842498;0.00245169740208;0.0239226190365;
DE FC6(beta);eeg;DE;FC6;beta;0.160276393314;0.00839521860542;0.00217535188822;0.00838595936199;0.0460697034167;0.00129368882243;0.0381572780687;
PSD FC6(beta);eeg;PSD;FC6;beta;0.16610410886;0.00731728375902;0.00628828301673;0.00731510948185;0.0373378786307;0.00131528137295;0.0373055635639;
DE FC6(gamma);eeg;DE;FC6;gamma;0.183639088549;0.00417840965346;0.0;0.00418723334133;0.0179599046328;0.000995282249429;0.0438258189496;
PSD FC6(gamma);eeg;PSD;FC6;gamma;0.182363381122;0.00466312339445;0.0053978228818;0.00465292393428;0.0206900584125;0.00112828604941;0.0432427574999;
DE FC6(alpha);eeg;DE;FC6;alpha;0.16042310524;0.00410939433098;0.000400821159736;0.00409685013337;0.010908653589;0.00115602574136;0.0452462036586;
PSD FC6(alpha);eeg;PSD;FC6;alpha;0.1603277722;0.00423060419918;0.00116381541295;0.00422989384145;0.0113183541238;0.00119805188592;0.0457849808297;
DE FC6(theta);eeg;DE;FC6;theta;0.174259011187;0.00591092836703;0.00142992389191;0.0059009638805;0.0226651720056;0.00155743040795;0.0384103855366;
PSD FC6(theta);eeg;PSD;FC6;theta;0.17113894179;0.00735365585827;0.00110666708427;0.0073519180418;0.0370378677614;0.00167313653764;0.0380271920102;
DE FC6(delta);eeg;DE;FC6;delta;0.14059815228;0.00557930537671;0.00197435269687;0.00556873945065;0.028566247175;0.00104085901297;0.0396484658834;
PSD FC6(delta);eeg;PSD;FC6;delta;0.148554760182;0.00821042023602;0.0110477644614;0.00820581211408;0.0549394257463;0.00114661656523;0.0390588158513;
A/B FC2;eeg;AB;FC2;alpha & beta;0.145625170782;0.00787268972403;0.00243643500173;0.00788708907587;0.0336494862571;0.00211896151051;0.0236581808274;
DE FC2(beta);eeg;DE;FC2;beta;0.173025750749;0.00520068151615;0.000244753981712;0.00518940853286;0.0216937230077;0.00161895076301;0.0411195715912;
PSD FC2(beta);eeg;PSD;FC2;beta;0.172945981339;0.00789247891901;0.00408832175776;0.00788671199247;0.0362347829633;0.0016026708926;0.039572615057;
DE FC2(gamma);eeg;DE;FC2;gamma;0.202597589214;0.00515521715778;0.00244049644149;0.00514221154676;0.0180119935086;0.00140433199458;0.0471496652408;
PSD FC2(gamma);eeg;PSD;FC2;gamma;0.200955628945;0.00406866324512;0.00314504923898;0.0040694233722;0.0207070619208;0.00150064842622;0.0464318220264;
DE FC2(alpha);eeg;DE;FC2;alpha;0.179139825064;0.0025521779077;0.0;0.00254246004287;0.00933705862478;0.00103078500212;0.0461073951458;
PSD FC2(alpha);eeg;PSD;FC2;alpha;0.177056091954;0.00507485760441;0.0;0.00508506419637;0.0137488724138;0.00111769134506;0.0458565690935;
DE FC2(theta);eeg;DE;FC2;theta;0.187205742547;0.0062897894035;0.00489692727197;0.00626443838267;0.0449015444401;0.00154936361981;0.0409083001844;
PSD FC2(theta);eeg;PSD;FC2;theta;0.187791491764;0.00815671739849;0.00381873055755;0.00815682137004;0.0608346538137;0.0013484353441;0.0405834563529;
DE FC2(delta);eeg;DE;FC2;delta;0.166041730768;0.00421652202549;0.0022126762577;0.00420673496268;0.0187294685908;0.00150341429743;0.0385719479667;
PSD FC2(delta);eeg;PSD;FC2;delta;0.173052673833;0.00665396229119;0.00173348747322;0.0066516847509;0.0296416622881;0.00150465384508;0.0375291346287;
A/B Cz;eeg;AB;Cz;alpha & beta;0.147965861603;0.0080102541918;0.00246648641346;0.00799171000602;0.040261905668;0.00220446325486;0.0258958237311;
DE Cz(beta);eeg;DE;Cz;beta;0.193983911466;0.00871666273902;0.00774601219755;0.00869596278149;0.0579743555757;0.00155306381782;0.0421378512068;
PSD Cz(beta);eeg;PSD;Cz;beta;0.178755942595;0.0093224846248;0.00346604953638;0.00931255421851;0.0475733378629;0.00163908014958;0.0424981383384;
DE Cz(gamma);eeg;DE;Cz;gamma;0.196273159939;0.00674490441183;0.00107737294999;0.00674697203276;0.0281136279651;0.00155134747401;0.0495464398839;
PSD Cz(gamma);eeg;PSD;Cz;gamma;0.195232522257;0.00619113431172;0.00429686877013;0.00619323890487;0.0299404558845;0.00145217908434;0.0499447907285;
DE Cz(alpha);eeg;DE;Cz;alpha;0.193760684755;0.00841341025731;0.00807409595333;0.00840209598611;0.0451502177935;0.00181859560689;0.0467675725309;
PSD Cz(alpha);eeg;PSD;Cz;alpha;0.179402057833;0.00375013210429;0.0;0.00376188863954;0.0134263552817;0.0019541752909;0.0465325159105;
DE Cz(theta);eeg;DE;Cz;theta;0.192131063195;0.0112727054779;0.0140097114954;0.0112888725857;0.0865580566914;0.00194921891838;0.0401405188999;
PSD Cz(theta);eeg;PSD;Cz;theta;0.167719851477;0.00668395510952;0.00206457385976;0.00668400348641;0.0378742841032;0.00197964460229;0.0391885867243;
DE Cz(delta);eeg;DE;Cz;delta;0.139308349892;0.00638818901128;0.00290083456932;0.00639411497096;0.0278202381326;0.00141293657729;0.0423407139667;
PSD Cz(delta);eeg;PSD;Cz;delta;0.153357591654;0.00779243097376;0.00590700512132;0.00780961088992;0.0196159396175;0.00134616387158;0.04100703127;
A/B C4;eeg;AB;C4;alpha & beta;0.159067809046;0.0112394787088;0.00755356803951;0.0112296710898;0.0572222605912;0.00206471092642;0.0266484897619;
DE C4(beta);eeg;DE;C4;beta;0.185292350284;0.0101270359758;0.0103233038575;0.0101322714422;0.0656686814878;0.00186212120329;0.0413321854168;
PSD C4(beta);eeg;PSD;C4;beta;0.177923313583;0.0109777121021;0.012331591005;0.0109839790361;0.0620652943481;0.00179357346534;0.0398171703925;
DE C4(gamma);eeg;DE;C4;gamma;0.19548299962;0.00402222303789;0.000636098792451;0.00401929998502;0.0133157748107;0.00157535625272;0.0466527416708;
PSD C4(gamma);eeg;PSD;C4;gamma;0.187669601821;0.00410514632349;0.00127729327084;0.00409749219604;0.0170937091354;0.00153000630261;0.0465288592841;
DE C4(alpha);eeg;DE;C4;alpha;0.186629026561;0.00736231028209;0.00401758080901;0.00735550888449;0.0255360062096;0.00143044478233;0.0440998352267;
PSD C4(alpha);eeg;PSD;C4;alpha;0.175681346213;0.00663291159067;0.00161553846949;0.00662558222588;0.0218766644611;0.00138507284777;0.0435346095782;
DE C4(theta);eeg;DE;C4;theta;0.167081206716;0.00535190978575;0.00348047261865;0.00535884579987;0.0233493643137;0.00152707549574;0.0391237966873;
PSD C4(theta);eeg;PSD;C4;theta;0.182008520731;0.00899454000527;0.0107567840827;0.00899436335011;0.0795149090859;0.00150170722883;0.0384804764908;
DE C4(delta);eeg;DE;C4;delta;0.153763538523;0.00860518032841;0.00533014416708;0.00859099568428;0.040543665239;0.00173595061463;0.0366382189352;
PSD C4(delta);eeg;PSD;C4;delta;0.163332307458;0.00870825055539;0.00510662062006;0.00868880287863;0.0662915489275;0.00190507537042;0.0369226338534;
A/B T8;eeg;AB;T8;alpha & beta;0.151646207677;0.0112405283713;0.0070662496346;0.0112276856708;0.066511777928;0.00235345957274;0.0258512718892;
DE T8(beta);eeg;DE;T8;beta;0.180368165945;0.00736956540676;0.000689902752604;0.00734659209446;0.0345580950113;0.00124242570877;0.0398322654648;
PSD T8(beta);eeg;PSD;T8;beta;0.193051521122;0.0119468770712;0.00767308701805;0.0119535010931;0.0797632243964;0.00132512131569;0.0403611211751;
DE T8(gamma);eeg;DE;T8;gamma;0.19082306566;0.00570980937872;0.00107732064201;0.00571557128814;0.0250638314977;0.00120809020956;0.0460097637098;
PSD T8(gamma);eeg;PSD;T8;gamma;0.194535204605;0.00699730511011;0.0074235147173;0.00699687599081;0.0723289443447;0.00119225403503;0.0463619084069;
DE T8(alpha);eeg;DE;T8;alpha;0.183035037734;0.00437890924896;0.000808029432939;0.0043703239251;0.0104134872282;0.000910203255973;0.0438402745661;
PSD T8(alpha);eeg;PSD;T8;alpha;0.189612069269;0.00864247291561;0.00831898272041;0.00863680962695;0.0482943430368;0.00102487842368;0.0438216719799;
DE T8(theta);eeg;DE;T8;theta;0.168330836777;0.00607851125899;0.00549539868077;0.00606340936491;0.0492259103956;0.00149833952998;0.0380082445755;
PSD T8(theta);eeg;PSD;T8;theta;0.158535092493;0.00836478595859;0.00322101510698;0.00836562255161;0.0483480404511;0.00147373378275;0.0374122167608;
DE T8(delta);eeg;DE;T8;delta;0.166524765653;0.00778087402716;0.0106293207872;0.00777893086992;0.0325305434088;0.00137615178752;0.0351074584443;
PSD T8(delta);eeg;PSD;T8;delta;0.17407584216;0.00958436296899;0.00300615237187;0.00957033799045;0.059332514625;0.00150968361869;0.0355465927687;
A/B CP6;eeg;AB;CP6;alpha & beta;0.162518603587;0.00939196600075;0.00989319366091;0.00939282567391;0.0494644976483;0.0022468441547;0.0254916425815;
DE CP6(beta);eeg;DE;CP6;beta;0.1747581936;0.00676866496423;0.00332849902357;0.00675217995784;0.0420887735031;0.00148876369816;0.0382053368644;
PSD CP6(beta);eeg;PSD;CP6;beta;0.187125473812;0.00976428845555;0.0116341335708;0.00976966116987;0.0525287628512;0.00139054766927;0.037485026175;
DE CP6(gamma);eeg;DE;CP6;gamma;0.188827551296;0.00416579203702;0.0;0.00417682653764;0.00893058964249;0.00122250647172;0.0461403268052;
PSD CP6(gamma);eeg;PSD;CP6;gamma;0.194445504453;0.005296518077;0.000731597624562;0.00529630512441;0.0358301658845;0.00136669915342;0.0458996694993;
DE CP6(alpha);eeg;DE;CP6;alpha;0.185011221224;0.00572885863757;0.0;0.00572188966235;0.0239937402271;0.00131168260636;0.0439630288326;
PSD CP6(alpha);eeg;PSD;CP6;alpha;0.185953625163;0.00551701635057;0.00190965436743;0.00551491962276;0.0135987381813;0.00135787823182;0.0443287546112;
DE CP6(theta);eeg;DE;CP6;theta;0.179556297751;0.00382858255454;0.0;0.00382415877432;0.0136458581619;0.00131930354419;0.0404773006003;
PSD CP6(theta);eeg;PSD;CP6;theta;0.196168507906;0.00839657653086;0.00655886675064;0.00839979548042;0.0572274457669;0.00131339657953;0.0414998044442;
DE CP6(delta);eeg;DE;CP6;delta;0.148078545306;0.006330456389;0.00458911538863;0.00631995118878;0.0327534068614;0.00131215903859;0.0397880102993;
PSD CP6(delta);eeg;PSD;CP6;delta;0.151953065751;0.00538185753544;0.0;0.00537284992467;0.0260899008921;0.00128181289013;0.0389896167089;
A/B CP2;eeg;AB;CP2;alpha & beta;0.172508508702;0.00839377142977;0.00625761898634;0.0084030838305;0.042707328793;0.00219467963021;0.02719336566;
DE CP2(beta);eeg;DE;CP2;beta;0.160031525639;0.00816723076077;0.00372792824682;0.00815679075071;0.0400267321327;0.00131556764054;0.04117453261;
PSD CP2(beta);eeg;PSD;CP2;beta;0.170417056109;0.00912517271941;0.00310931217273;0.00910737287685;0.0616817309196;0.00125386375227;0.0400056271775;
DE CP2(gamma);eeg;DE;CP2;gamma;0.179086530936;0.00255901405726;0.0;0.00253630864763;0.00512780501495;0.000864083186718;0.046921905832;
PSD CP2(gamma);eeg;PSD;CP2;gamma;0.187623152955;0.0036858662949;0.0;0.00369238380992;0.012596991225;0.000872923487143;0.04669628806;
DE CP2(alpha);eeg;DE;CP2;alpha;0.176858527796;0.00419275120325;0.000513243850736;0.00419169052692;0.0230782169998;0.0012278378012;0.0451308837384;
PSD CP2(alpha);eeg;PSD;CP2;alpha;0.173649432598;0.00481367929823;0.00645017091171;0.00481179384187;0.0179440350027;0.00116220751302;0.044452590089;
DE CP2(theta);eeg;DE;CP2;theta;0.179563694067;0.00872221493766;0.00643603750284;0.00870990137746;0.0837062713625;0.00157768646828;0.0398125987866;
PSD CP2(theta);eeg;PSD;CP2;theta;0.180321446053;0.00683307734559;0.00599627629432;0.00683751453792;0.0348745852834;0.00165450517732;0.0411183285199;
DE CP2(delta);eeg;DE;CP2;delta;0.166668821497;0.00576395682023;0.00532550685048;0.00576986327841;0.0487991052142;0.00141199551469;0.0407526467379;
PSD CP2(delta);eeg;PSD;CP2;delta;0.168558569732;0.00755052175863;0.00765703344497;0.00753051568634;0.0297611255491;0.00141257825225;0.0403049153331;
A/B P4;eeg;AB;P4;alpha & beta;0.182137247883;0.00495415408046;0.0;0.00494984716412;0.0129589610941;0.00212627893241;0.0325664031621;
DE P4(beta);eeg;DE;P4;beta;0.173371849369;0.0061705222535;0.00691423552449;0.0061629133782;0.0275174084401;0.00125205179922;0.0472043242259;
PSD P4(beta);eeg;PSD;P4;beta;0.177139656163;0.00735477156045;0.00487079915363;0.00736148271013;0.0465029620614;0.0012691831888;0.0458827060515;
DE P4(gamma);eeg;DE;P4;gamma;0.181167602468;0.00395066351617;0.00299988786382;0.00396821345888;0.0112048010919;0.00109633756101;0.0504692698483;
PSD P4(gamma);eeg;PSD;P4;gamma;0.181319221656;0.00520110948594;0.00162518946003;0.00518907904306;0.0124729537299;0.00104223298809;0.0499696929519;
DE P4(alpha);eeg;DE;P4;alpha;0.182957093914;0.00488301789864;0.00357506142535;0.00488003796838;0.0218882533987;0.00141181693754;0.0512357474639;
PSD P4(alpha);eeg;PSD;P4;alpha;0.178343736082;0.00448258722476;0.00235234379942;0.00448244372684;0.00892521341094;0.00123331495828;0.0519655954243;
DE P4(theta);eeg;DE;P4;theta;0.186596022862;0.00481695354794;0.0;0.00481005767985;0.0122069647793;0.00182015009699;0.0438940428043;
PSD P4(theta);eeg;PSD;P4;theta;0.173234756034;0.00669090559915;0.00441240586581;0.00669572101461;0.0210666493157;0.00185566382379;0.0436183180225;
DE P4(delta);eeg;DE;P4;delta;0.15432441452;0.00686975429751;0.000386608004821;0.00686993930384;0.0292116724548;0.00119525319288;0.0448922929429;
PSD P4(delta);eeg;PSD;P4;delta;0.143597895695;0.00518139242658;0.00153504019575;0.00516095290269;0.0184672332446;0.00123246824385;0.044889629671;
A/B P8;eeg;AB;P8;alpha & beta;0.142305236701;0.00874258645177;0.0;0.00873244849229;0.0307769806689;0.00182327283582;0.0266860557626;
DE P8(beta);eeg;DE;P8;beta;0.178736632256;0.00602492216815;0.00042922038089;0.00601522192091;0.0162972433488;0.00132914044542;0.0405765660311;
PSD P8(beta);eeg;PSD;P8;beta;0.193858696936;0.0106734319518;0.0116588077051;0.0106957183873;0.062978802794;0.00122627965625;0.0399756835059;
DE P8(gamma);eeg;DE;P8;gamma;0.20197477448;0.00550199690666;0.000715467671073;0.00550966002641;0.0358484069159;0.00151862180974;0.0477972556586;
PSD P8(gamma);eeg;PSD;P8;gamma;0.205974763691;0.00543130848788;0.00562339704356;0.00543336947126;0.0150328186273;0.00148804531492;0.0474652986551;
DE P8(alpha);eeg;DE;P8;alpha;0.201955908016;0.0054980999142;0.000834126928732;0.00550594962603;0.0228040491938;0.00130344294596;0.0464100909713;
PSD P8(alpha);eeg;PSD;P8;alpha;0.196893043543;0.00577488441126;0.000168605878892;0.00578609529179;0.0204567937043;0.00125513467191;0.0463581466338;
DE P8(theta);eeg;DE;P8;theta;0.199119763314;0.00889380769352;0.00771382658002;0.00890704637734;0.0643779758582;0.00166841610142;0.0423834842233;
PSD P8(theta);eeg;PSD;P8;theta;0.176163865785;0.00651801642168;0.0;0.00652115408423;0.0311810398504;0.00145799084185;0.0420488409046;
DE P8(delta);eeg;DE;P8;delta;0.161299421589;0.00767009839344;0.0114489198112;0.00767473836257;0.0370544051155;0.00150850422978;0.0417758610426;
PSD P8(delta);eeg;PSD;P8;delta;0.179419840278;0.00816920339673;0.00206280895932;0.00817385620864;0.0499953996863;0.00144260942556;0.0410527318689;
A/B PO4;eeg;AB;PO4;alpha & beta;0.184163788326;0.00980989197036;0.0116362403294;0.00981782177235;0.0656443856791;0.00199907281065;0.0283714547021;
DE PO4(beta);eeg;DE;PO4;beta;0.186856172753;0.0091673182731;0.00143371764139;0.00916149219023;0.06219737063;0.00168793912573;0.0424046010582;
PSD PO4(beta);eeg;PSD;PO4;beta;0.189662057442;0.00747123427657;0.00206918301656;0.00746767795802;0.0213117353498;0.001745258693;0.0428349349517;
DE PO4(gamma);eeg;DE;PO4;gamma;0.174377445971;0.00520766009253;0.00119941735949;0.00519092205197;0.0189293773228;0.00128736582986;0.0485738742179;
