featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
DE F3(theta);eeg;DE;F3;theta;0.188200694671;0.00809787588527;0.00293576935889;0.00808100793009;0.0594579631265;0.0022779118426;0.0391006587577;
PSD F3(theta);eeg;PSD;F3;theta;0.183803157403;0.00773972641329;0.00193186447708;0.00772047392601;0.0359682100181;0.00242029947045;0.0389305874678;
DE F3(delta);eeg;DE;F3;delta;0.158183668307;0.00585368232748;0.00517329163793;0.00584800808491;0.0347246285233;0.00149986869848;0.0390021879358;
PSD F3(delta);eeg;PSD;F3;delta;0.170183051608;0.00783701796506;0.00646784667701;0.0078312694122;0.038945125635;0.001419684952;0.0392626652773;
A/B F7;eeg;AB;F7;alpha & beta;0.182773162804;0.0101231105783;0.00633228554781;0.0101184048715;0.0594539602954;0.00226915828161;0.0279473629831;
DE F7(beta);eeg;DE;F7;beta;0.140153700139;0.00491895762844;0.0;0.00490846290177;0.00945552597924;0.00123840763259;0.0400086369331;
PSD F7(beta);eeg;PSD;F7;beta;0.151648397423;0.0070850073806;0.00339567378339;0.00707093604596;0.0305847896808;0.00129890825127;0.0404768986206;
DE F7(gamma);eeg;DE;F7;gamma;0.176640931598;0.00507776516204;0.0;0.00507141154968;0.0154287580372;0.00117624878645;0.0464938929086;
PSD F7(gamma);eeg;PSD;F7;gamma;0.171757534994;0.00617617734336;0.000361429393427;0.00618492443236;0.0194749907273;0.000999298300878;0.0461717562598;
DE F7(alpha);eeg;DE;F7;alpha;0.151510346475;0.00385104309278;0.0;0.00385603840757;0.00813745676526;0.00111146907356;0.0475038209947;
PSD F7(alpha);eeg;PSD;F7;alpha;0.147237244731;0.0057134592399;0.0;0.00570217646745;0.0273406560868;0.00110268838448;0.0474341738996;
DE F7(theta);eeg;DE;F7;theta;0.154608401802;0.00578802157236;0.00164894223303;0.00580157538936;0.0298446382656;0.00132415852861;0.0391274566961;
PSD F7(theta);eeg;PSD;F7;theta;0.158618841519;0.00673080333568;0.00308841406691;0.00672670878991;0.0350759778278;0.00120386086363;0.0388581242097;
DE F7(delta);eeg;DE;F7;delta;0.127660171013;0.00489051761297;0.000768483095531;0.0048853685791;0.0078122314373;0.00128856281992;0.0398042995217;
PSD F7(delta);eeg;PSD;F7;delta;0.144608681486;0.0067894181969;0.00447192918629;0.00678247138903;0.0311034762281;0.00125546219517;0.0395032077919;
A/B FC5;eeg;AB;FC5;alpha & beta;0.162711227129;0.00774591299241;0.00303044652365;0.00774379579536;0.0291466267003;0.00228722383389;0.0254590000411;
DE FC5(beta);eeg;DE;FC5;beta;0.146729176456;0.00728997039312;0.00554353833326;0.00727220268531;0.045196364134;0.00106848580467;0.0405485373186;
PSD FC5(beta);eeg;PSD;FC5;beta;0.164905967913;0.00803114677374;0.0085601054209;0.00800244452452;0.049291995451;0.001129084069;0.0403236944295;
DE FC5(gamma);eeg;DE;FC5;gamma;0.170564126986;0.00555335697514;0.0;0.00554441146401;0.0220843086076;0.00119878388402;0.0449707849665;
PSD FC5(gamma);eeg;PSD;FC5;gamma;0.166366043794;0.00452216865301;0.000327100561079;0.00453696218519;0.0185258077395;0.00123359027574;0.0446868065067;
DE FC5(alpha);eeg;DE;FC5;alpha;0.160998289775;0.00548469466758;0.00325620114782;0.00548338037722;0.0305137034093;0.00110990088568;0.046199954572;
PSD FC5(alpha);eeg;PSD;FC5;alpha;0.156867926817;0.00519867032758;0.00150874113264;0.00519541328604;0.00952055327108;0.00114817153579;0.046878830652;
DE FC5(theta);eeg;DE;FC5;theta;0.152700860228;0.0046735317726;0.00218967882182;0.00467702825564;0.0221086637691;0.00121834889621;0.0390219694926;
PSD FC5(theta);eeg;PSD;FC5;theta;0.156589414631;0.00807988545038;0.00237610456451;0.00807557348491;0.0553773808807;0.00115846197429;0.0392143752233;
DE FC5(delta);eeg;DE;FC5;delta;0.134266235714;0.00516233481296;0.00029692452189;0.0051567361923;0.0215604334242;0.00118702090794;0.0395609013169;
PSD FC5(delta);eeg;PSD;FC5;delta;0.140389352602;0.00601886207897;0.00450614327819;0.00598615612068;0.0247876318951;0.00120389008584;0.0387213192128;
A/B FC1;eeg;AB;FC1;alpha & beta;0.169125545923;0.0107166933355;0.000150446180017;0.0107006311872;0.0498546728784;0.00222753819004;0.0283445294149;
DE FC1(beta);eeg;DE;FC1;beta;0.168567046131;0.00796137524707;0.00489059787794;0.00796175351246;0.0514275982588;0.00166114780765;0.0393326932079;
PSD FC1(beta);eeg;PSD;FC1;beta;0.162224544831;0.00697570301617;0.0;0.00695427996431;0.0295090543154;0.00147958041815;0.0391996215917;
DE FC1(gamma);eeg;DE;FC1;gamma;0.176908083935;0.00498118187024;0.0;0.00498968421997;0.0129441924023;0.00166973041345;0.0455864859636;
PSD FC1(gamma);eeg;PSD;FC1;gamma;0.186710175883;0.00652077893723;0.00780890458717;0.00652651393087;0.0510691316926;0.00156336567294;0.046168670749;
DE FC1(alpha);eeg;DE;FC1;alpha;0.164006513749;0.0026299738548;0.0;0.00262199382974;0.0109746050787;0.000952647251872;0.0465585224145;
PSD FC1(alpha);eeg;PSD;FC1;alpha;0.172709945714;0.006105473923;0.0;0.00611303333093;0.0242974952406;0.000922173756812;0.0456637709734;
DE FC1(theta);eeg;DE;FC1;theta;0.181469958331;0.00497111329848;0.00223900140729;0.00497056180453;0.0283846709325;0.00151741895112;0.0434372166948;
PSD FC1(theta);eeg;PSD;FC1;theta;0.187146027842;0.00944860407406;0.00923477413864;0.00943836237403;0.0601797809558;0.00131683322259;0.0417771105033;
DE FC1(delta);eeg;DE;FC1;delta;0.133689218765;0.00669595177407;0.00120161871266;0.0066916019222;0.0198964564596;0.00109160087235;0.0402481337562;
PSD FC1(delta);eeg;PSD;FC1;delta;0.153301277127;0.00794147081827;0.00201786798188;0.00795669646247;0.029076084382;0.00121719725999;0.0408757333416;
A/B C3;eeg;AB;C3;alpha & beta;0.158739531163;0.00581919323639;0.0;0.00581490324502;0.0166569230483;0.00222883232211;0.0252908159725;
DE C3(beta);eeg;DE;C3;beta;0.168652024366;0.00797795622213;0.00626062266702;0.0079865665753;0.0362228416806;0.00148681649658;0.0416345412849;
PSD C3(beta);eeg;PSD;C3;beta;0.167740138061;0.00902281272859;0.00421478307381;0.00902301897345;0.0703612241487;0.0014669018435;0.0414914170726;
DE C3(gamma);eeg;DE;C3;gamma;0.171564956517;0.00652730138608;0.0;0.00652312866027;0.0372045313267;0.0011199176561;0.046789254872;
PSD C3(gamma);eeg;PSD;C3;gamma;0.167441821788;0.00454384308105;0.000410126309643;0.00454070224907;0.021367704768;0.00104944957405;0.0465854978781;
DE C3(alpha);eeg;DE;C3;alpha;0.175954990607;0.00388613568812;0.000256433626777;0.00389155528767;0.00493011664254;0.00114288847189;0.048361427849;
PSD C3(alpha);eeg;PSD;C3;alpha;0.167684958663;0.00504865410207;0.0;0.00505357431667;0.010700312425;0.00112849670723;0.0484928304673;
DE C3(theta);eeg;DE;C3;theta;0.165838238019;0.00478352292647;0.0;0.00476272534712;0.0205153522849;0.00125170560717;0.0399172367567;
PSD C3(theta);eeg;PSD;C3;theta;0.153590581053;0.00835906017645;0.0108810364164;0.00836174651624;0.059993035515;0.00133560125597;0.0404916244705;
DE C3(delta);eeg;DE;C3;delta;0.143115174132;0.00764811743139;0.00147393970763;0.00766200638523;0.0564488159546;0.00137293035736;0.040447439393;
PSD C3(delta);eeg;PSD;C3;delta;0.152581452246;0.00917014188054;0.00852338885502;0.00915236591793;0.0686061764333;0.00118773356728;0.0401463713489;
A/B T7;eeg;AB;T7;alpha & beta;0.171143861986;0.0098840413785;0.0011319816827;0.00988198228823;0.0395170549711;0.00225461336776;0.0262846744291;
DE T7(beta);eeg;DE;T7;beta;0.17711944552;0.00671863807504;0.00364954536995;0.00670619875259;0.0294372071498;0.00141812765226;0.0411114756269;
PSD T7(beta);eeg;PSD;T7;beta;0.182671606852;0.00673308564859;0.00442909769823;0.00674040315754;0.0262478630674;0.00130721959449;0.0412979840064;
DE T7(gamma);eeg;DE;T7;gamma;0.191938099889;0.00488344328591;0.00270249089899;0.00487062934197;0.017719418231;0.00125728592375;0.0471137438948;
PSD T7(gamma);eeg;PSD;T7;gamma;0.179893046614;0.00429537700174;0.00164461278322;0.00429149709464;0.0127616924613;0.0012761211633;0.0478536263982;
DE T7(alpha);eeg;DE;T7;alpha;0.169995731166;0.00356799514666;0.0;0.00356255260727;0.0096570418865;0.00117880691624;0.0486330459835;
PSD T7(alpha);eeg;PSD;T7;alpha;0.170807907462;0.00700801481049;0.00101828190308;0.00699507059382;0.0237222136683;0.00125387180132;0.047801691126;
DE T7(theta);eeg;DE;T7;theta;0.158766691128;0.00615270046929;0.00508797496283;0.00613364085378;0.0424334213265;0.00130641032827;0.0412254278413;
PSD T7(theta);eeg;PSD;T7;theta;0.157744530666;0.00822893311034;0.00574720853812;0.00823865990045;0.0592351500319;0.00134318914841;0.0406198999425;
DE T7(delta);eeg;DE;T7;delta;0.159332241176;0.00838977900005;0.00632103459861;0.00837457417791;0.0454746263575;0.00143828849174;0.0426314440276;
PSD T7(delta);eeg;PSD;T7;delta;0.180247333531;0.00759881840599;0.00421609268419;0.00759828563379;0.0429719640838;0.00155688569432;0.0421068705178;
A/B CP5;eeg;AB;CP5;alpha & beta;0.149614463949;0.00853876253174;0.00456225541246;0.00854228399576;0.0366715865225;0.00179851592267;0.0282255313826;
DE CP5(beta);eeg;DE;CP5;beta;0.195576901129;0.00614115690617;0.00535541176474;0.00612940210528;0.0299622283274;0.00152676765793;0.0426330576136;
PSD CP5(beta);eeg;PSD;CP5;beta;0.174755353525;0.0104379697242;0.00388564396763;0.0104393448851;0.0588155602934;0.00160665967833;0.041929446408;
DE CP5(gamma);eeg;DE;CP5;gamma;0.186368153964;0.00304320151961;0.0;0.00304109342201;0.007125494185;0.00107636984184;0.0477386056795;
PSD CP5(gamma);eeg;PSD;CP5;gamma;0.189062364312;0.00567793261937;9.53682687208e-05;0.00568876574367;0.0340302810999;0.00115617037451;0.047761209988;
DE CP5(alpha);eeg;DE;CP5;alpha;0.174122280831;0.00599692412558;0.00345000454484;0.00599734330365;0.0327090673009;0.00122488303555;0.0480314400839;
PSD CP5(alpha);eeg;PSD;CP5;alpha;0.169914437382;0.00487024477099;0.00565314745899;0.00489451848719;0.0106625911228;0.00134110340457;0.0472375230279;
DE CP5(theta);eeg;DE;CP5;theta;0.175264670796;0.0076063473803;0.00713684126353;0.00760050820237;0.0361772876754;0.00131353312395;0.041747131112;
PSD CP5(theta);eeg;PSD;CP5;theta;0.164588802914;0.00832588346975;0.00263159517092;0.00832743932894;0.0607823339598;0.00118715158019;0.0415704429036;
DE CP5(delta);eeg;DE;CP5;delta;0.168554989013;0.0050151199177;0.00386137139359;0.00502147644039;0.0159512202926;0.00145398571618;0.0416367675699;
PSD CP5(delta);eeg;PSD;CP5;delta;0.173372148986;0.00628122557127;0.00154705126187;0.00628130335507;0.0131107816332;0.00153755807206;0.0412789423814;
A/B CP1;eeg;AB;CP1;alpha & beta;0.173446560942;0.00810672938101;0.000750014752242;0.00808848925666;0.0389195763717;0.00267894995739;0.0244482894374;
DE CP1(beta);eeg;DE;CP1;beta;0.191062604027;0.00812666065842;0.000293288441785;0.00812938026186;0.0501934504022;0.00221400053825;0.0397323085319;
PSD CP1(beta);eeg;PSD;CP1;beta;0.182311360048;0.0091692633444;0.00576743380814;0.00915240669813;0.0719998709457;0.00207823754683;0.0408462495166;
DE CP1(gamma);eeg;DE;CP1;gamma;0.16720716501;0.00449800747027;0.00255585816024;0.00449716856387;0.0265645322671;0.00112046267266;0.0476673045014;
PSD CP1(gamma);eeg;PSD;CP1;gamma;0.165341074522;0.004937832281;0.00148527394209;0.00494148579408;0.0359345994967;0.000985673552461;0.0467084119576;
DE CP1(alpha);eeg;DE;CP1;alpha;0.165734951399;0.00324567479895;0.00181994785207;0.00323847206549;0.0132879287773;0.00104825057698;0.0467718127232;
PSD CP1(alpha);eeg;PSD;CP1;alpha;0.166907197307;0.00727852088376;0.00524319853667;0.00727561299771;0.0286292804901;0.00102048634827;0.0460568747964;
DE CP1(theta);eeg;DE;CP1;theta;0.160659039285;0.00633688798575;0.00470257141902;0.0063335623374;0.0511297829257;0.00136543610428;0.0398288218866;
PSD CP1(theta);eeg;PSD;CP1;theta;0.168705721892;0.00847855954484;0.00663792377942;0.00848655692495;0.0527132385509;0.00135562749138;0.0389974914415;
DE CP1(delta);eeg;DE;CP1;delta;0.159587039;0.0066861918707;0.00166549917124;0.00666585649783;0.0505639821947;0.00202370825041;0.0398669624545;
PSD CP1(delta);eeg;PSD;CP1;delta;0.151487375754;0.0058148870485;0.00589516896014;0.00581317707215;0.0195070480036;0.00198439456187;0.0394761371493;
A/B P3;eeg;AB;P3;alpha & beta;0.156145197182;0.00877919621651;0.00266559806331;0.00877200223313;0.0322667124759;0.00194134284975;0.0243673500397;
DE P3(beta);eeg;DE;P3;beta;0.188826503905;0.00773292565357;0.00404275707672;0.00771931402019;0.0443755461991;0.00189739455671;0.0358687277115;
PSD P3(beta);eeg;PSD;P3;beta;0.186416356402;0.00931232449647;0.000103673445085;0.00930660261471;0.0489992419576;0.00185161390532;0.0367445417893;
DE P3(gamma);eeg;DE;P3;gamma;0.202738506128;0.00498009353376;0.00530006204189;0.00495507784305;0.0228666298375;0.0017913576572;0.0449526076729;
PSD P3(gamma);eeg;PSD;P3;gamma;0.194070951371;0.00615666616103;0.00466814210588;0.00616765392077;0.0243454167008;0.00185899537749;0.0444594719654;
DE P3(alpha);eeg;DE;P3;alpha;0.179049782283;0.00390641472614;0.0;0.00390089674488;0.0103509166036;0.00133220957548;0.0438068419209;
PSD P3(alpha);eeg;PSD;P3;alpha;0.179784113761;0.0075111635591;0.00269466594708;0.00750655071577;0.0372728831335;0.00138539216488;0.0434571295384;
DE P3(theta);eeg;DE;P3;theta;0.199419567615;0.00690207201076;0.00674059509346;0.00687959279679;0.01836740978;0.00165430711908;0.0356940299398;
PSD P3(theta);eeg;PSD;P3;theta;0.203796008869;0.00905018052054;0.00684064665382;0.00902927743568;0.0543997530838;0.00152986768146;0.035795004832;
DE P3(delta);eeg;DE;P3;delta;0.153012075892;0.00593869514083;0.00265511156587;0.00592471705427;0.0301651805346;0.0021199971326;0.0369142826773;
PSD P3(delta);eeg;PSD;P3;delta;0.179746915268;0.0109684103253;0.012933312396;0.0109852178569;0.0704825537536;0.00202836729641;0.0362433001682;
A/B P7;eeg;AB;P7;alpha & beta;0.162283048464;0.00721275997775;0.00333530951716;0.00720893419016;0.0282700075637;0.00211496972132;0.0226969576265;
DE P7(beta);eeg;DE;P7;beta;0.162158064253;0.00645258285753;0.0;0.0064361151037;0.0170290641288;0.00133740896406;0.0400113258265;
PSD P7(beta);eeg;PSD;P7;beta;0.156983594235;0.00883900664869;0.00888752241385;0.00883122389664;0.0397145212974;0.00153020382216;0.0395472837074;
DE P7(gamma);eeg;DE;P7;gamma;0.169606002025;0.00464590316904;0.000537575304969;0.00464019373609;0.0140009609565;0.00165440197908;0.0469912121443;
PSD P7(gamma);eeg;PSD;P7;gamma;0.172014288541;0.00549522694077;0.00537506533803;0.00548243749224;0.0408130222697;0.00148284904674;0.0468006290668;
DE P7(alpha);eeg;DE;P7;alpha;0.168176947983;0.00512364355823;0.0;0.00511875872984;0.015236236476;0.00114032058452;0.0482715442431;
PSD P7(alpha);eeg;PSD;P7;alpha;0.17599466646;0.00507022270764;0.0;0.00508256955034;0.0215525662874;0.00102746962212;0.048255217493;
DE P7(theta);eeg;DE;P7;theta;0.171867112677;0.00768211876439;0.00124010155087;0.00767852708313;0.0355148065685;0.00134549639093;0.0371310602256;
PSD P7(theta);eeg;PSD;P7;theta;0.169251937528;0.00848535826031;0.00177225515399;0.0084588426738;0.0449106348576;0.00130779931246;0.0371759930255;
DE P7(delta);eeg;DE;P7;delta;0.13072788767;0.00464409323186;0.0;0.00463780342372;0.0149823788986;0.00100412177696;0.0395949033667;
PSD P7(delta);eeg;PSD;P7;delta;0.150914117907;0.00780376887912;0.0032865081744;0.00778291330791;0.0412927085454;0.00104271361472;0.0392563788288;
A/B PO3;eeg;AB;PO3;alpha & beta;0.166396604707;0.00816477722579;0.00284869939344;0.00815828384238;0.0319536249559;0.00225930584073;0.0296399249166;
DE PO3(beta);eeg;DE;PO3;beta;0.172641319561;0.00735830316445;0.00389804647235;0.00735541046302;0.0354623806098;0.0017490865401;0.0396708383003;
PSD PO3(beta);eeg;PSD;PO3;beta;0.171887962314;0.00893376277392;0.00401917915611;0.00891999252505;0.038030686465;0.00162569766658;0.0401757254682;
DE PO3(gamma);eeg;DE;PO3;gamma;0.180558310023;0.00658016673621;0.000827718260024;0.00655486756626;0.0497162911933;0.000990648137331;0.0480967593143;
PSD PO3(gamma);eeg;PSD;PO3;gamma;0.164534588979;0.00618554708239;0.00547376202577;0.00619275833749;0.0383062505057;0.00107083419888;0.0480667971525;
DE PO3(alpha);eeg;DE;PO3;alpha;0.168196554467;0.00449828316891;0.00199342315128;0.00447487234814;0.0118504638887;0.00104157610977;0.0461472206526;
PSD PO3(alpha);eeg;PSD;PO3;alpha;0.158204794851;0.00630677174456;0.00167499507902;0.00629542743314;0.0364077104383;0.00102724849996;0.0464732173077;
DE PO3(theta);eeg;DE;PO3;theta;0.160691575221;0.00707639169309;0.00358387702517;0.00706532854339;0.032139889953;0.00144305363953;0.0408733561126;
PSD PO3(theta);eeg;PSD;PO3;theta;0.174211929304;0.00961121948161;0.00486435639184;0.00961701675622;0.0474295487595;0.00148027809866;0.040561404895;
DE PO3(delta);eeg;DE;PO3;delta;0.13639642219;0.00623725190393;0.0;0.00624403713818;0.0220224567433;0.00132606225436;0.0392691161259;
PSD PO3(delta);eeg;PSD;PO3;delta;0.156042908912;0.00805953303697;0.00757260723841;0.00805764470383;0.0494685328087;0.00149862593407;0.0401234707001;
A/B O1;eeg;AB;O1;alpha & beta;0.184757915441;0.00943541264484;0.00286029220085;0.00943007367797;0.0583347781365;0.00233663806207;0.0270804897084;
DE O1(beta);eeg;DE;O1;beta;0.162646205952;0.00657577530282;0.00210349937319;0.00658053156222;0.0296715367726;0.00121033503327;0.0394092250294;
PSD O1(beta);eeg;PSD;O1;beta;0.161304821619;0.00937071969194;0.00777498881753;0.00935710618273;0.0587120315302;0.00117591626754;0.0389249532403;
DE O1(gamma);eeg;DE;O1;gamma;0.177240650453;0.00513459512817;0.00396573361006;0.00513122698331;0.0217731538765;0.00125791469251;0.0461982998868;
PSD O1(gamma);eeg;PSD;O1;gamma;0.16574576311;0.00483927480874;0.00049465587596;0.00483222152325;0.0150269727623;0.00113200923428;0.0465180245428;
DE O1(alpha);eeg;DE;O1;alpha;0.164145621159;0.0035999696853;0.0;0.00360359688141;0.00598598682193;0.00103036199871;0.0460981904343;
PSD O1(alpha);eeg;PSD;O1;alpha;0.159579585748;0.00371219137445;0.0;0.00371901363274;0.00629238468551;0.00117134403733;0.0457168938716;
DE O1(theta);eeg;DE;O1;theta;0.172309684702;0.00758893070031;0.00353985558177;0.00759383261998;0.0546187463367;0.00129147539091;0.0402174908216;
PSD O1(theta);eeg;PSD;O1;theta;0.180025413496;0.00779538932162;0.00104224244821;0.00779015413149;0.0370357286606;0.00134021707038;0.0407124881939;
DE O1(delta);eeg;DE;O1;delta;0.14178753455;0.00673472459929;0.00128816344028;0.00672430675437;0.0217276569245;0.00128789372696;0.0407149293558;
PSD O1(delta);eeg;PSD;O1;delta;0.14430275963;0.0105138795231;0.00553626907736;0.0105165633265;0.0749984977282;0.00121162314891;0.0406128837306;
A/B Oz;eeg;AB;Oz;alpha & beta;0.176565651835;0.0118503662191;0.00957378056171;0.0118383306876;0.0861820667216;0.00237052780171;0.0233006213899;
DE Oz(beta);eeg;DE;Oz;beta;0.170258213662;0.00808757387893;0.00165007761652;0.00809162962282;0.0485434662225;0.00165062441885;0.0371305437895;
PSD Oz(beta);eeg;PSD;Oz;beta;0.18404937716;0.0101210744046;0.00686757761186;0.0101157191422;0.0674328482315;0.00171681775139;0.0360844407502;
DE Oz(gamma);eeg;DE;Oz;gamma;0.199383000171;0.00657380411197;0.00388807689349;0.00659422848323;0.0439116788687;0.00211078259794;0.0422226463814;
PSD Oz(gamma);eeg;PSD;Oz;gamma;0.193647926559;0.00657656350741;0.00257280533212;0.0065847835778;0.0365531699286;0.00190504200681;0.0419449169404;
