person;best_k;train_acc;test_acc;k=2;k=3;k=4;k=5;k=6;#0;#1;#2;#3;#4;#5;#6;A/B Fp1;A/B AF3;A/B F3;A/B F7;A/B FC5;A/B FC1;A/B C3;A/B T7;A/B CP5;A/B CP1;A/B P3;A/B P7;A/B PO3;A/B O1;A/B Oz;A/B Pz;A/B Fp2;A/B AF4;A/B Fz;A/B F4;A/B F8;A/B FC6;A/B FC2;A/B Cz;A/B C4;A/B T8;A/B CP6;A/B CP2;A/B P4;A/B P8;A/B PO4;A/B O2;LR Fp1,Fp2;LR AF3,AF4;LR F3,F4;LR F7,F8;LR FC5,FC6;LR FC1,FC2;LR C3,C4;LR T7,T8;LR CP5,CP6;LR CP1,CP2;LR P3,P4;LR P7,P8;LR PO3,PO4;FM Fp1;FM AF3;FM F3;FM F7;FM FC5;FM FC1;FM C3;FM T7;FM CP5;FM CP1;FM P3;FM P7;FM PO3;FM O1;FM Oz;FM Pz;FM Fp2;FM AF4;FM Fz;FM F4;FM F8;FM FC6;FM FC2;FM Cz;FM C4;FM T8;FM CP6;FM CP2;FM P4;FM P8;FM PO4;FM O2;avg GSR;std GSR;avg Respiration belt;std Respiration belt;avg Plethysmograph;std Plethysmograph;avg Temperature;std Temperature;avg HR;std HR;
0;2;0.633333333333;0.3;0.633;0.6;0.533;0.533;0.6;avg HR(0.38523755205);avg Respiration belt(0.32202299002);std GSR(0.169098284709);A/B C4(0.104257986104);LR Fp1,Fp2(0.104019027768);std Respiration belt(0.101065497425);LR CP1,CP2(0.0856414008365);-0.0239713350828;0.38523755205;-0.13044301397;-0.28562147094;-0.193812349702;-0.0718555245521;0.101065497425;0.32202299002;0.169098284709;-0.318582588905;-0.17408270353;-0.141109964466;-0.300583770645;-0.0826931578967;-0.077188961752;-0.456885103589;-0.177446957598;-0.0421707525356;0.0777542075216;-0.304483319417;-0.0661397566685;-0.141827660759;-0.254846944694;-0.318675078152;-0.209596553372;-0.236727279456;-0.236609909457;-0.113477809689;-0.0834577618001;-0.206395482754;-0.274583629856;-0.142585651464;-0.258839765215;-0.0999327878025;-0.00814949446498;0.0166531399261;-0.186354371041;-0.110043706269;-0.233083778909;-0.250613529716;-0.302979655483;-0.343399179787;-0.23396287511;-0.203487386992;-0.2336131242;0.0856414008365;-0.031443805982;0.0581732107986;-0.125847314715;0.0522106451137;-0.210107579779;0.0603353630379;0.0704018943994;-0.143104649161;0.104019027768;-0.137044476607;-0.246671623393;-0.0289788242924;-0.213525777724;-0.178338092401;-0.0475260746742;-0.0145041557731;0.104257986104;-0.161185765279;-0.258129581084;-0.0125305515388;-0.14748655891;-0.22097158372;-0.2897394393;-0.0986220279352;-0.281639745565;-0.41962882179;-0.215639889718;-0.132548045243;-0.30773474755;-0.124143050703;-0.397397824754;-0.186139724035;-0.127964871029;0.00655711158897;-0.0969704735185;-0.310648118928;-0.179594328873;-0.258111746817;-0.272208986565;-0.324046281112;-0.307669628169;
1;2;0.533333333333;0.7;0.533;0.467;0.4;0.367;0.333;FM P8(0.255840485033);avg GSR(0.219736080876);std GSR(0.185090099703);A/B T7(0.159040621035);std Respiration belt(0.142355856784);FM FC1(0.140707124506);FM PO3(0.119302303571);-0.157975935305;0.0419611893163;-0.101234638438;-0.06611998597;-0.197200274493;-0.140536592209;0.142355856784;-0.000164888387387;0.185090099703;0.219736080876;0.0930660216951;0.0722525566196;0.255840485033;0.0734525724189;0.0716935321555;0.0730166262135;0.0698764680357;0.072972069452;0.0740504963183;0.0894773175028;0.0727788362883;0.0701648040315;0.0765579473265;0.0752163102232;0.0745478645452;0.0642102949351;0.00500574453539;0.0749980450413;0.0749553773433;0.119302303571;0.0789713494335;0.0753685827001;0.0750634429854;0.0766497576515;0.0736309328612;0.080111647812;0.140707124506;0.0711643148896;0.0744801759857;0.0603561026249;0.0767035029186;0.0775295276525;-0.127043882466;0.0808812549931;-0.274297854204;-0.0319154854725;-0.107439779649;0.0767079878249;-0.0866828932983;-0.0311935069619;-0.228770334119;-0.0245355937601;-0.169725673833;-0.0327538565088;0.0144417840034;0.00935252312479;-0.118257390598;0.00895363585227;-0.0817768533916;-0.0767521880122;-0.127210147194;-0.0974279780945;-0.103639708784;-0.055267103719;-0.0701015251702;-0.0734344985351;-0.101639494335;-0.108125382074;-0.134271879105;-0.0232089948463;0.0111701117064;-0.183662947081;-0.123257337677;-0.103478905548;-0.26141066732;-0.0840022538156;-0.217221473563;-0.0787132142487;-0.123515657404;0.159040621035;-0.0492385919268;-0.137100931111;-0.122602430786;-0.0390206636788;-0.124913116555;-0.0651614528174;-0.0249857234149;
2;2;0.766666666667;0.8;0.767;0.767;0.667;0.667;0.633;LR T7,T8(0.244806671968);std GSR(0.150494094804);LR Fp1,Fp2(0.133753667829);LR CP1,CP2(0.130990085667);LR F7,F8(0.115407907781);LR PO3,PO4(0.0940357626616);LR F3,F4(0.0908784022668);0.0235146116712;-0.242813419706;-0.0347981964079;0.0701740701519;-0.240330151128;-0.133703994617;-0.203561924302;-0.111091414511;0.150494094804;-0.00734063416999;-0.435071230596;-0.130608243035;-0.148134250055;-0.144078129262;-0.161171516448;-0.138174444891;-0.147272348121;-0.137173202542;-0.226322397444;-0.147120609212;-0.130000245522;-0.135762697923;-0.13750851292;-0.139714119157;-0.395736999713;-0.123906927185;-0.134447870177;-0.352605180754;-0.332764921351;-0.154879129369;-0.127040268068;-0.128214722658;-0.149897721003;-0.131134912569;-0.141325263706;-0.13563192459;-0.189696824889;-0.127432350631;-0.48405076305;-0.143174284169;-0.125000548159;-0.299514892536;0.0940357626616;-0.0450714724178;0.0100069693684;0.130990085667;0.0418806327577;0.244806671968;-0.00150221032296;-0.0987109901529;-0.171721991644;0.115407907781;0.0908784022668;-0.00406194506622;0.133753667829;-0.291272277161;-0.244420084118;-0.335090155336;-0.321870310839;-0.320599968819;-0.312283314087;-0.338654573262;-0.285288287409;-0.357969950239;-0.296378156292;-0.190823521449;-0.155205611;-0.192376966535;-0.313233720115;-0.179728880796;-0.214271058958;-0.261905555353;-0.067561482385;-0.255591380383;-0.310646907143;-0.247610249217;-0.149617600572;-0.308023146521;-0.0972057440737;-0.09732424641;-0.265626605208;-0.228329489857;-0.236081517857;-0.23596621832;-0.234984278259;-0.183573006092;-0.131463071279;
3;2;0.6;0.6;0.6;0.6;0.467;0.4;0.5;A/B C3(0.338565607224);A/B Fz(0.338224701384);A/B FC1(0.335725251305);A/B CP1(0.334223916602);A/B P4(0.333517989349);A/B FC6(0.332473111627);A/B AF4(0.331810128836);0.156132200948;0.125489143767;-0.176809005328;-0.127995503653;0.237333800729;0.255037787033;-0.0355226287035;0.0929185707425;0.0271445340527;0.119491395873;0.0507696984579;0.0534174403576;0.0868805450711;0.0490786266882;0.0885107018645;0.0238381580389;0.00405746408361;0.0649029230551;0.091445390599;-0.00056316231171;0.0319527341419;0.0466892755198;0.0460843083688;0.0179973956553;0.0242612079872;0.0522261622935;0.0103736637;0.0365309325366;0.079114021882;0.0194034865231;0.059604491045;-0.0426327233268;0.0549523805009;0.04476937554;0.0565700701907;0.0239036919714;0.0280424826272;0.0223477525552;0.0489743629209;0.0307999054149;0.0369476405544;0.050334578684;0.0777805849902;0.0706520755074;0.0634508666388;-0.00487904588167;0.145209856395;0.0356201335272;-0.0206634684781;0.0293964659823;-0.204879864844;-0.10517172959;0.19185513326;-0.076511912969;-0.083449840255;0.29782202343;0.323110453271;0.296238186336;0.333517989349;0.287682318391;0.327683346415;0.320166410617;0.313012336758;0.285293388741;0.314727586589;0.332473111627;0.319645249672;0.331543450643;0.338224701384;0.331810128836;0.31828110289;0.315593617056;0.331644839991;0.306157476841;0.326768540836;0.274590511688;0.247019642603;0.334223916602;0.32201191609;0.0780353862362;0.338565607224;0.335725251305;0.321488328317;0.328749582022;0.235503744381;0.298602481856;0.297742962608;
4;2;0.466666666667;0.6;0.467;0.467;0.4;0.267;0.3;LR AF3,AF4(0.343267775266);LR CP1,CP2(0.293319437023);LR CP5,CP6(0.212168066928);LR PO3,PO4(0.197867159684);avg Plethysmograph(0.162985956798);LR FC5,FC6(0.126483353431);std HR(0.093316234072);0.093316234072;0.0667538486289;-0.0287675553862;-0.0707680885975;-0.204125521358;0.162985956798;-0.105305609523;-0.232634483914;-0.100007447286;-0.168138657125;-0.458242250921;-0.296347674383;-0.283182152833;-0.285050542283;-0.452083587606;-0.438141909759;-0.350912074641;-0.403749695721;-0.406538549605;-0.32855919411;-0.442535293943;-0.333066844542;-0.29293856208;-0.444791053156;-0.453346397978;-0.22234764262;-0.262283010271;-0.466771026083;-0.474630582036;-0.334686067787;-0.454940797467;-0.309728917958;-0.441132821198;-0.302928492271;-0.436222370127;-0.261201798402;-0.273617191226;-0.240170820847;-0.403861581001;-0.344453848165;-0.440818734266;-0.36019619935;0.197867159684;-0.218435360529;-0.0124086858507;0.293319437023;0.212168066928;-0.397166293268;-0.062268507877;-0.438720075538;0.126483353431;0.0193620925;-0.128945055167;0.343267775266;-0.230284959736;-0.34194574405;-0.303678596418;-0.280623800914;-0.200212636565;-0.236489753156;-0.255147066822;-0.140230149323;-0.100484948835;-0.307536415982;-0.119990721105;-0.2760522388;-0.314534840544;-0.265164735589;-0.297254270082;-0.261502813788;-0.277165795765;-0.248127154696;-0.280246857571;-0.395197700439;-0.284558269789;-0.289845728972;-0.266411979025;-0.247169146179;-0.279363567644;-0.296073055047;-0.243207787644;-0.301353450851;-0.266693295333;-0.279235272243;-0.278487660085;-0.193989448768;-0.324245452009;
5;5;0.466666666667;0.7;0.433;0.367;0.367;0.467;0.333;std GSR(0.36079700029);LR F7,F8(0.311672299287);LR CP1,CP2(0.26608507513);LR AF3,AF4(0.260038426707);FM Cz(0.232276924864);FM C3(0.224548047778);FM AF4(0.221891192186);0.215067547191;-0.203601876198;-0.101108817458;-0.00740163106087;-0.132074848902;-0.00470412334416;0.0533391319484;0.174607514435;0.36079700029;-0.304741660897;0.190041376276;0.155136045603;0.156416628142;0.099017588482;0.150214308046;0.14238002779;0.170045103953;0.166943358987;0.232276924864;0.206909105321;0.166326536092;0.204701729148;0.154261223525;0.128818535776;0.221891192186;0.19768670563;0.209836533502;0.164767261205;0.086460009652;0.0994766668324;0.0869997092913;0.188754229127;0.176651028962;0.149784654938;0.15671138955;0.224548047778;0.183333634806;0.19684447202;0.170752985302;0.183682657885;0.18781024912;0.213206999335;0.0635958603315;-0.132080126749;-0.00800331706416;0.26608507513;-0.302734911458;-0.193223099571;0.0327885613956;0.0674247498906;0.204016031707;0.311672299287;-0.211201989191;0.260038426707;-0.291924902431;-0.198608742748;-0.246039234314;-0.101477012852;-0.233712489619;-0.294316683075;-0.14018130609;-0.169551815353;-0.197381622571;-0.246499400736;-0.236075843753;-0.235123114131;-0.26511356123;-0.172331434215;-0.226511148789;-0.22966581201;-0.256747416173;-0.281114700866;-0.159527925279;-0.233719614101;-0.231540171722;-0.215714412194;-0.262659535412;-0.32846572343;-0.245115714295;-0.247588362887;-0.258473615715;-0.215138296146;-0.274006843291;-0.159109307906;-0.176301702416;-0.151277711068;-0.296992571356;
6;2;0.6;0.6;0.6;0.567;0.433;0.367;0.467;LR Fp1,Fp2(0.328400709752);A/B F7(0.25106569407);A/B FC5(0.244319941511);LR F7,F8(0.192596000573);LR CP1,CP2(0.187860334103);LR FC5,FC6(0.185382178772);LR F3,F4(0.145562654799);0.0336766103422;-0.00572920713437;-0.408560224905;-0.0780452440195;-0.0375782543165;-0.103546181457;-0.127042573627;-0.156514953203;0.0314599418518;0.0721148826211;-0.251409133633;-0.151893732642;-0.349742395799;-0.244062505215;-0.36509865865;-0.361911254432;-0.244934583385;-0.284904160137;-0.320860107738;-0.413215219206;-0.367660469751;-0.198317187399;-0.28266813275;-0.407994477238;-0.355092687165;-0.309754201045;-0.179333283936;-0.206575952153;-0.388614469797;-0.412268626541;-0.200997523787;-0.433638077072;-0.371906236519;-0.257541954908;-0.366121473781;-0.254530097772;-0.446112159874;-0.340856241563;-0.27726830399;-0.383078519925;-0.389319513892;-0.204961580423;-0.189282911415;-0.0618408588367;-0.0385972436351;0.187860334103;0.10025213306;-0.245279329699;-0.0193840796272;0.00895750935456;0.185382178772;0.192596000573;0.145562654799;0.0748897557828;0.328400709752;-0.144978793432;-0.191076021547;-0.29147677093;-0.154357985176;-0.352781046718;-0.396720764875;0.130624263665;0.136608442664;-0.168055002406;-0.330435847149;0.112983772744;-0.0127606464947;0.0994354259663;-0.160405802064;-0.186756076223;-0.205045132104;-0.0161784296601;-0.221875251977;-0.458390432652;-0.338016376608;-0.123863479006;-0.325212413907;-0.149451695487;0.0257598444485;0.0397808181114;0.0796055418211;-0.153733493451;0.244319941511;0.25106569407;0.123282533594;-0.0335824167028;0.128673825071;
7;2;0.5;0.4;0.5;0.467;0.433;0.5;0.433;std Temperature(0.350963267845);avg GSR(0.324288528952);LR CP5,CP6(0.21350470655);A/B F3(0.203957754487);A/B Fz(0.200497509556);A/B CP5(0.189568593223);LR P7,P8(0.189337473206);-0.150263870264;0.027543730304;0.350963267845;0.14951020859;-0.193283783713;0.108035220089;0.00806189461556;-0.175065675457;0.173233891992;0.324288528952;-0.191745091184;-0.22382524638;-0.13335358853;-0.143220515588;-0.240776437687;-0.152196661058;-0.215915754452;-0.183366230444;-0.213515938203;-0.207019423966;-0.0691425644816;-0.0751346133813;-0.213487236933;-0.303367762502;-0.202733349148;-0.132123390442;-0.200493620639;-0.107865760571;-0.230830968906;-0.153829385497;-0.129562237567;-0.192386787922;-0.106000489099;-0.143298969447;-0.221091929328;-0.0826592610015;-0.25106553503;-0.0555600368821;-0.100572298627;-0.195655769844;-0.19535957034;-0.339528071446;0.0340844592089;0.189337473206;-0.00769417042633;0.14811193188;0.21350470655;-0.244857505744;0.0870931382176;0.151029519163;-0.200698138609;-0.165395718624;-0.0345816959779;-0.200571806341;-0.207513512544;-0.00627186875622;-0.0621676907077;-0.0181348979867;-0.0722102543469;-0.0185618249292;-0.00827983313764;-0.0627723479191;-0.0157738656125;-0.0210709672811;-0.00900972194102;-0.099466102053;-0.0470298269018;0.00297543407796;0.200497509556;0.0560140135744;-0.051623378754;-0.0564877714416;0.0391081663151;-0.0895695899615;0.000965277326454;0.119552616046;-0.0256230568962;0.0183839129789;0.189568593223;0.0134020673765;0.134801501393;0.117244021596;0.100695133439;0.15168357128;0.203957754487;0.137402953293;0.127029472578;
8;4;0.666666666667;0.7;0.533;0.633;0.667;0.567;0.567;LR FC1,FC2(0.384721204984);A/B F7(0.228290012051);FM Oz(0.158697366069);FM T7(0.155171573051);LR CP1,CP2(0.144733096922);FM T8(0.144443711071);LR P3,P4(0.144235351525);-0.0503199074511;-0.258246084124;-0.224640051934;-0.381104881214;-0.173694841553;0.096965276137;0.100035265558;-0.101933320866;-0.212849369588;0.0133395237951;-0.102810218958;-0.0733467898113;0.0972702361136;-0.0522114969252;0.0584747512963;-0.0238389673366;0.144443711071;-0.0213060475797;0.0117213774884;-0.0342301399091;-0.0463407604662;-0.11316567284;-0.0691209892835;-0.0894714466121;0.130885517182;-0.113745177308;-0.0182970455462;0.158697366069;-0.137873458964;-0.100893119715;-0.0335120765294;-0.0139693464324;-0.0226657602242;-0.0566717230622;0.155171573051;-0.112717349565;-0.0119410052782;-0.0810384114585;-0.079523904225;-0.0367659785233;-0.00693419080445;-0.0882415177854;-0.347415490116;-0.286825653232;0.144235351525;0.144733096922;-0.281557573136;-0.346087098376;-0.280769264685;0.384721204984;-0.306226461101;0.0356197143294;0.0843397114898;-0.317804428178;0.131650827988;-0.144604853859;-0.0655925784669;0.0138067129956;-0.0562492626477;-0.167769786525;0.0248437173701;0.0231644602841;0.102862130991;-0.0578018736877;-0.0635299013211;-0.0705632800661;-0.0903873295711;-0.0502704906549;-0.123406020439;-0.0276781184385;-0.0496798619202;-0.0933212977647;-0.152696171303;-0.188003630982;-0.235267011537;-0.0737902623982;-0.0676941147401;-0.0777262947509;0.0314866616058;0.0361832504077;0.0446383035843;-0.0488848273353;0.000528440293488;0.228290012051;0.0269321389269;0.00310744606038;-0.0807189329637;
9;2;0.433333333333;0.5;0.433;0.4;0.433;0.4;0.367;std HR(0.184549649731);std Respiration belt(0.175368810699);LR P3,P4(0.165111030443);LR AF3,AF4(0.147382943232);A/B O1(0.133492978568);LR C3,C4(0.0950444651661);LR T7,T8(0.061567663031);0.184549649731;-0.0990401593038;0.0484660033452;-0.0177818084565;-0.147278719851;-0.24203835465;0.175368810699;-0.278807530702;-0.0945108521297;0.0468692493986;-0.311729075839;-0.511804848759;-0.355441254646;-0.529064339953;-0.407653604503;-0.301318605405;-0.524454140646;-0.528289377454;-0.493233668384;-0.449005190391;-0.471890454363;-0.348155645071;-0.5322039095;-0.360358269273;-0.464773585108;-0.39382284444;-0.528885095469;-0.536274481943;-0.455880066604;-0.527862988196;-0.576332089054;-0.184082064966;-0.518012190863;-0.544225729095;-0.541252018767;-0.505802687781;-0.534183237767;-0.534894094158;-0.474226755419;-0.539164570558;-0.478955635699;-0.527022964617;0.0274812528462;-0.219133878119;0.165111030443;-0.123451814782;-0.170780533129;0.061567663031;0.0950444651661;-0.167506234893;-0.16899065112;-0.0842827617436;-0.00724352997623;0.147382943232;-0.115579169326;-0.0972607430666;-0.081015799431;-0.208431595632;-0.177826441281;-0.2199709575;-0.180859235559;-0.264050235703;-0.091690351967;-0.184100294378;-0.212520011673;-0.235501360778;-0.0682151298315;-0.0740286900532;-0.174642514193;-0.160908659213;-0.0519062823381;-0.212542121624;-0.185161302586;0.133492978568;-0.051314943584;-0.1765488717;-0.0616796813426;-0.204146241916;-0.182183182154;-0.320768508331;-0.185795149361;-0.052506563517;-0.274918226098;-0.178683001421;-0.0638977038663;-0.117084735021;0.0315785884801;
