featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
avg GSR;phy;AVG;n/a;n/a;0.108012704548;0.0170256550491;0.0365735481189;0.0170073254579;0.301056952249;0.00399447371861;
std GSR;phy;STD;n/a;n/a;0.0307600274946;0.00150063228062;0.00248700659363;0.00165571804742;0.135101193328;0.00278476389598;
avg Respiration belt;phy;AVG;n/a;n/a;0.0182609863884;0.00037880094629;0.00856066674535;0.000422925873358;0.186161209324;0.00327321132985;
std Respiration belt;phy;STD;n/a;n/a;0.0290722021684;0.00465937979903;0.00060348789219;0.00467827116907;0.235074506607;0.00294125539697;
avg Plethysmograph;phy;AVG;n/a;n/a;0.0250000446195;0.00309864554734;0.00185636635132;0.00311131529624;0.289853361435;0.00337734887503;
std Plethysmograph;phy;STD;n/a;n/a;0.00505959320555;0.0013384741766;0.00236189803469;0.00153666712018;0.174274671577;0.00250537960506;
avg Temperature;phy;AVG;n/a;n/a;0.0316407564899;0.0035007882665;0.00362151984265;0.00345835870112;0.216235823227;0.00233439178065;
std Temperature;phy;STD;n/a;n/a;0.0323132273834;0.00141953284101;0.00421247584405;0.00148123121608;0.202337134992;0.00227667045887;
avg HR;phy;AVG HR;n/a;n/a;0.00151254235622;0.000746404701507;0.00543775007557;0.000739339065732;0.16673663906;0.00223287623953;
std HR;phy;STD HR;n/a;n/a;0.00534421226304;0.00296053867178;0.00103275054351;0.0030087982904;0.156056645759;0.00257859051854;
A/B Fp1;eeg;AB;Fp1;alpha & beta;0.0544418058371;0.000936946649043;0.00445424138972;0.00105256525961;0.050165074507;0.00203062046719;
DE Fp1(gamma);eeg;DE;Fp1;gamma;0.0549932220105;0.000812409664377;0.0;0.000889521763128;0.00925074249721;0.000981809972971;
PSD Fp1(gamma);eeg;PSD;Fp1;gamma;0.0578366457548;0.00149739315927;0.0;0.00152168397649;0.0085099923571;0.000958921810459;
DE Fp1(theta);eeg;DE;Fp1;theta;0.0549932220105;0.000899747512053;0.0;0.000889521763128;0.00925074249721;0.00108955341987;
PSD Fp1(theta);eeg;PSD;Fp1;theta;0.0838568592945;0.00172138852065;0.000334666204158;0.00176725477398;0.011567397098;0.00155697783669;
DE Fp1(alpha);eeg;DE;Fp1;alpha;0.0806067243245;0.00117563560338;0.00363101647019;0.00112752433007;0.0103975738774;0.00146361075911;
PSD Fp1(alpha);eeg;PSD;Fp1;alpha;0.0319158748694;0.00582292133595;0.00423443774711;0.00582040067849;0.107418551844;0.00164912502885;
DE Fp1(beta);eeg;DE;Fp1;beta;0.0158180496718;0.00334013797639;0.00104201753948;0.00334825282804;0.188551941953;0.00162429925169;
PSD Fp1(beta);eeg;PSD;Fp1;beta;0.0637847831084;0.00139418487352;0.0;0.00139368173012;0.00734359922564;0.00108943013004;
DE Fp1(delta);eeg;DE;Fp1;delta;0.0615001296269;0.000745065953627;0.0;0.000721074425138;0.00755561509188;0.00107095676005;
PSD Fp1(delta);eeg;PSD;Fp1;delta;0.0580400901022;0.000456786951859;0.0010019923774;0.000412133902144;0.0240692228169;0.00150721545189;
A/B AF3;eeg;AB;AF3;alpha & beta;0.0578028890361;0.00106814880961;0.00252294830277;0.00101691065435;0.0570366827275;0.0014019455974;
DE AF3(gamma);eeg;DE;AF3;gamma;0.0491151662636;0.00102365075454;0.0;0.00107453920721;0.018549517529;0.00167749577255;
PSD AF3(gamma);eeg;PSD;AF3;gamma;0.0705299103394;0.00192887040208;0.0;0.00196354316844;0.0107271708344;0.000829932294319;
