featname;eeg/phy;what;channels;waveband;avg weight;std weight;
PSD FC5(theta);eeg;PSD;FC5;theta;0.000946751708331;0.00103831517898
A/B FC1;eeg;AB;FC1;alpha & beta;0.00201746631187;0.00141544060112
FM FC1;eeg;FM;FC1;theta;0.000910505746508;0.00074784785246
DE FC1(gamma);eeg;DE;FC1;gamma;0.00103092584376;0.00125518699973
PSD FC1(gamma);eeg;PSD;FC1;gamma;0.00101891744084;0.00110006239822
DE FC1(beta);eeg;DE;FC1;beta;0.000803923964056;0.000775844274381
PSD FC1(beta);eeg;PSD;FC1;beta;0.000978436114246;0.00165141043047
DE FC1(delta);eeg;DE;FC1;delta;0.00190895286082;0.00129865977562
PSD FC1(delta);eeg;PSD;FC1;delta;0.00209753672475;0.00143517846584
DE FC1(alpha);eeg;DE;FC1;alpha;0.00143936509529;0.00206534860258
PSD FC1(alpha);eeg;PSD;FC1;alpha;0.00129445602609;0.00168657551629
DE FC1(theta);eeg;DE;FC1;theta;0.00110643952828;0.0010187481102
PSD FC1(theta);eeg;PSD;FC1;theta;0.00102474976663;0.00100376931625
A/B C3;eeg;AB;C3;alpha & beta;0.00213817045328;0.00173943456958
FM C3;eeg;FM;C3;theta;0.000882122700012;0.000741453804454
DE C3(gamma);eeg;DE;C3;gamma;0.000948108882449;0.000956487156143
PSD C3(gamma);eeg;PSD;C3;gamma;0.000922239724169;0.00127483898715
DE C3(beta);eeg;DE;C3;beta;0.000889460272336;0.000994696783358
PSD C3(beta);eeg;PSD;C3;beta;0.000950028281407;0.000951080271585
DE C3(delta);eeg;DE;C3;delta;0.00197385991108;0.00122184585936
PSD C3(delta);eeg;PSD;C3;delta;0.00197936324901;0.00131343303473
DE C3(alpha);eeg;DE;C3;alpha;0.00131107004797;0.00143581633396
PSD C3(alpha);eeg;PSD;C3;alpha;0.00114069268941;0.00105556368484
DE C3(theta);eeg;DE;C3;theta;0.000966736611242;0.000838634223272
PSD C3(theta);eeg;PSD;C3;theta;0.00105490191171;0.00102501746268
A/B T7;eeg;AB;T7;alpha & beta;0.00216384160054;0.00187654862965
FM T7;eeg;FM;T7;theta;0.00100348890477;0.00103410579083
DE T7(gamma);eeg;DE;T7;gamma;0.000695957020542;0.000721935176121
PSD T7(gamma);eeg;PSD;T7;gamma;0.000774070264165;0.000771051155637
DE T7(beta);eeg;DE;T7;beta;0.000960002300448;0.00122576388486
PSD T7(beta);eeg;PSD;T7;beta;0.00087340479728;0.00111285057212
DE T7(delta);eeg;DE;T7;delta;0.00254649644572;0.00156564734738
PSD T7(delta);eeg;PSD;T7;delta;0.00245574486496;0.00137325751273
DE T7(alpha);eeg;DE;T7;alpha;0.00110956377778;0.00107284292617
PSD T7(alpha);eeg;PSD;T7;alpha;0.00116700725209;0.00128212319668
DE T7(theta);eeg;DE;T7;theta;0.000843857784068;0.000798150388544
PSD T7(theta);eeg;PSD;T7;theta;0.000947536585508;0.00108196609929
A/B CP5;eeg;AB;CP5;alpha & beta;0.00195298571849;0.00181653944162
FM CP5;eeg;FM;CP5;theta;0.00100700470428;0.000893833257259
DE CP5(gamma);eeg;DE;CP5;gamma;0.000809749452575;0.000681776059313
PSD CP5(gamma);eeg;PSD;CP5;gamma;0.00105858010007;0.000899055608531
DE CP5(beta);eeg;DE;CP5;beta;0.000898913437914;0.000636378356088
PSD CP5(beta);eeg;PSD;CP5;beta;0.000808155004466;0.000650935062089
DE CP5(delta);eeg;DE;CP5;delta;0.0024289016998;0.00148933791363
PSD CP5(delta);eeg;PSD;CP5;delta;0.00227689513385;0.00149466317382
DE CP5(alpha);eeg;DE;CP5;alpha;0.00107205759025;0.000820217978195
PSD CP5(alpha);eeg;PSD;CP5;alpha;0.00119716615203;0.00120503972452
DE CP5(theta);eeg;DE;CP5;theta;0.00104427204331;0.00104537880333
PSD CP5(theta);eeg;PSD;CP5;theta;0.000970939682209;0.00107321199222
A/B CP1;eeg;AB;CP1;alpha & beta;0.00249946196284;0.0025842557408
FM CP1;eeg;FM;CP1;theta;0.00085313518983;0.000959308356331
DE CP1(gamma);eeg;DE;CP1;gamma;0.000697237665691;0.000752208944533
PSD CP1(gamma);eeg;PSD;CP1;gamma;0.000798344722558;0.000724679962825
DE CP1(beta);eeg;DE;CP1;beta;0.000623726722563;0.000570745139033
PSD CP1(beta);eeg;PSD;CP1;beta;0.000658882819605;0.000463744139639
DE CP1(delta);eeg;DE;CP1;delta;0.00334485445359;0.00327999739643
PSD CP1(delta);eeg;PSD;CP1;delta;0.00350802634873;0.00330430826218
DE CP1(alpha);eeg;DE;CP1;alpha;0.00130898268658;0.00140264812004
PSD CP1(alpha);eeg;PSD;CP1;alpha;0.00126318464767;0.00167897590515
DE CP1(theta);eeg;DE;CP1;theta;0.000820290259627;0.000828971584796
PSD CP1(theta);eeg;PSD;CP1;theta;0.000925003491554;0.00121454629531
A/B P3;eeg;AB;P3;alpha & beta;0.00187411137164;0.00123398241774
FM P3;eeg;FM;P3;theta;0.00115713934938;0.0010477897296
DE P3(gamma);eeg;DE;P3;gamma;0.00121273509492;0.00137219210553
PSD P3(gamma);eeg;PSD;P3;gamma;0.001255947049;0.00194664418598
DE P3(beta);eeg;DE;P3;beta;0.00134818803233;0.00238469762666
PSD P3(beta);eeg;PSD;P3;beta;0.00138830300763;0.00256405045688
DE P3(delta);eeg;DE;P3;delta;0.00258912717848;0.00176686874288
