number of features;train_pearson;train_lr;train_l1;train_l2;train_svm;train_rf;test_pearson;test_lr;test_l1;test_l2;test_svm;test_rf;
14;0.84375;0.975;0.94375;0.975;0.95625;0.8375;0.45;0.525;0.6;0.525;0.675;0.55;
15;0.825;0.94375;0.9375;0.94375;0.925;0.8375;0.575;0.325;0.475;0.325;0.525;0.525;
16;0.75625;0.91875;0.90625;0.91875;0.90625;0.7875;0.65;0.75;0.775;0.75;0.7;0.625;
17;0.7875;0.93125;0.95;0.93125;0.95;0.8;0.475;0.5;0.475;0.5;0.525;0.4;
18;0.8;0.89375;0.90625;0.89375;0.9625;0.7875;0.5;0.625;0.65;0.6;0.6;0.45;
19;0.85625;0.95625;0.94375;0.95625;0.96875;0.875;0.55;0.65;0.575;0.6;0.45;0.6;
20;0.85625;0.89375;0.975;0.9;0.90625;0.8875;0.525;0.35;0.525;0.35;0.3;0.45;
21;0.7375;0.93125;0.9125;0.93125;0.90625;0.76875;0.525;0.575;0.65;0.575;0.625;0.575;
22;0.7875;0.9;0.925;0.9;0.88125;0.8875;0.55;0.3;0.525;0.3;0.35;0.6;
23;0.74375;0.8375;0.89375;0.8375;0.91875;0.75625;0.6;0.65;0.625;0.65;0.65;0.6;
24;0.83125;0.90625;0.9375;0.90625;0.9125;0.79375;0.425;0.375;0.375;0.375;0.45;0.35;
25;0.68125;0.88125;0.88125;0.88125;0.9125;0.74375;0.275;0.425;0.325;0.425;0.425;0.3;
26;0.7375;0.9375;0.9125;0.9375;0.93125;0.78125;0.575;0.65;0.6;0.65;0.65;0.55;
27;0.85625;0.86875;0.9125;0.875;0.85;0.81875;0.75;0.75;0.75;0.75;0.75;0.75;
28;0.84375;0.9;0.9;0.9;0.85;0.8;0.65;0.625;0.65;0.625;0.625;0.65;
29;0.90625;0.95625;0.925;0.95625;0.93125;0.91875;0.675;0.575;0.575;0.575;0.625;0.725;
30;0.725;0.9125;0.90625;0.9125;0.85;0.80625;0.675;0.675;0.65;0.675;0.675;0.7;
31;0.775;0.95;0.99375;0.95;0.88125;0.8;0.35;0.6;0.5;0.6;0.55;0.4;
32;0.8125;1.0;1.0;1.0;0.98125;0.9375;0.775;0.875;0.9;0.875;0.675;0.85;
