Metric: 1;
featureCount;featureAdded;train;test;
1;22.0;0.999415384615;0.492857142857;
2;23.0;0.998230769231;0.490357142857;
3;33.0;1.0;0.49369047619;
4;275.0;0.9998;0.519047619048;
5;277.0;0.9998;0.503214285714;
6;165.0;0.999807692308;0.492857142857;
7;41.0;1.0;0.504285714286;
8;35.0;0.999807692308;0.504642857143;
9;276.0;1.0;0.502857142857;
10;319.0;1.0;0.52;
11;36.0;1.0;0.530119047619;
12;331.0;1.0;0.520357142857;
13;231.0;1.0;0.522380952381;
14;330.0;1.0;0.542380952381;
15;264.0;1.0;0.560952380952;
16;176.0;1.0;0.512380952381;
17;232.0;1.0;0.521666666667;
18;34.0;1.0;0.53869047619;
19;242.0;1.0;0.532976190476;
20;278.0;1.0;0.52869047619;


Metric: 2;
featureCount;featureAdded;train;test;
1;130.0;0.665192307692;0.535;
2;465.0;0.966076923077;0.526785714286;
3;464.0;0.996884615385;0.512261904762;
4;362.0;1.0;0.526904761905;
5;467.0;1.0;0.526904761905;
6;599.0;0.9998;0.527976190476;
7;363.0;1.0;0.515119047619;
8;353.0;1.0;0.513928571429;
9;559.0;1.0;0.53380952381;
10;196.0;1.0;0.518333333333;
11;144.0;1.0;0.521666666667;
12;469.0;1.0;0.525714285714;
13;558.0;1.0;0.530714285714;
14;350.0;1.0;0.527619047619;
15;355.0;1.0;0.544285714286;
16;466.0;1.0;0.516666666667;
17;262.0;1.0;0.51619047619;
18;166.0;1.0;0.511666666667;
19;361.0;1.0;0.510952380952;
20;556.0;1.0;0.523928571429;


Metric: 3;
featureCount;featureAdded;train;test;
1;464.0;0.999023076923;0.509642857143;
2;554.0;1.0;0.52880952381;
3;465.0;0.999807692308;0.523095238095;
4;0.0;1.0;0.560714285714;
5;555.0;1.0;0.526071428571;
6;556.0;1.0;0.539047619048;
7;129.0;1.0;0.538333333333;
8;101.0;1.0;0.55;
9;584.0;1.0;0.553214285714;
10;582.0;1.0;0.534047619048;
11;479.0;1.0;0.550714285714;
12;130.0;1.0;0.537023809524;
13;585.0;1.0;0.537261904762;
14;442.0;1.0;0.553571428571;
15;462.0;1.0;0.533571428571;
16;466.0;1.0;0.526547619048;
17;446.0;1.0;0.534523809524;
18;447.0;1.0;0.56;
19;30.0;1.0;0.540357142857;
20;467.0;0.9998;0.537976190476;


Metric: 4;
featureCount;featureAdded;train;test;
1;470.0;0.998646153846;0.533928571429;
2;207.0;0.985815384615;0.517380952381;
3;390.0;0.999415384615;0.50380952381;
4;4.0;1.0;0.498333333333;
5;41.0;1.0;0.507738095238;
6;345.0;1.0;0.500476190476;
7;3.0;1.0;0.495714285714;
8;9.0;1.0;0.501547619048;
9;164.0;1.0;0.520119047619;
10;306.0;1.0;0.503571428571;
11;241.0;0.9998;0.5125;
12;350.0;1.0;0.515833333333;
13;349.0;1.0;0.51130952381;
14;335.0;1.0;0.515595238095;
15;391.0;1.0;0.516785714286;
16;395.0;0.9998;0.52;
17;133.0;1.0;0.508928571429;
18;60.0;1.0;0.510476190476;
19;472.0;1.0;0.501547619048;
20;268.0;1.0;0.529404761905;


Metric: 5;
featureCount;featureAdded;train;test;
1;129.0;0.999023076923;0.517857142857;
2;41.0;0.999807692308;0.510714285714;
3;349.0;0.999807692308;0.497261904762;
4;4.0;1.0;0.492738095238;
5;295.0;1.0;0.493214285714;
6;9.0;1.0;0.510952380952;
7;207.0;0.999807692308;0.51369047619;
8;334.0;1.0;0.515119047619;
9;262.0;1.0;0.530357142857;
10;241.0;1.0;0.507857142857;
11;1.0;1.0;0.5075;
12;328.0;1.0;0.51;
13;55.0;1.0;0.498928571429;
14;70.0;1.0;0.515952380952;
15;336.0;1.0;0.514642857143;
16;67.0;1.0;0.514642857143;
17;340.0;1.0;0.506428571429;
18;451.0;1.0;0.499166666667;
19;92.0;1.0;0.522261904762;
20;98.0;1.0;0.518214285714;


Metric: 6;
featureCount;featureAdded;train;test;
1;470.0;0.999030769231;0.531785714286;
2;207.0;0.988107692308;0.518452380952;
3;390.0;0.999223076923;0.506547619048;
4;4.0;0.999807692308;0.510833333333;
5;3.0;1.0;0.480476190476;
6;345.0;1.0;0.494285714286;
7;41.0;1.0;0.49130952381;
8;9.0;1.0;0.50380952381;
9;164.0;1.0;0.514047619048;
10;306.0;1.0;0.512142857143;
11;241.0;1.0;0.507261904762;
12;350.0;1.0;0.514285714286;
13;335.0;1.0;0.510595238095;
14;349.0;1.0;0.527619047619;
15;391.0;0.999807692308;0.493333333333;
16;395.0;1.0;0.5075;
17;133.0;1.0;0.506071428571;
18;60.0;1.0;0.494642857143;
19;472.0;1.0;0.537142857143;
20;268.0;1.0;0.515952380952;


Metric: 7;
featureCount;featureAdded;train;test;
1;0.0;0.998246153846;0.538571428571;
2;4.0;1.0;0.5225;
3;3.0;1.0;0.536071428571;
4;6.0;1.0;0.540952380952;
5;7.0;1.0;0.5375;
6;2.0;1.0;0.554523809524;
7;5.0;1.0;0.530476190476;
8;8.0;1.0;0.536785714286;
9;9.0;1.0;0.547619047619;
10;1.0;1.0;0.558214285714;
11;291.0;1.0;0.548571428571;
12;272.0;1.0;0.535357142857;
13;349.0;1.0;0.54869047619;
14;174.0;1.0;0.53880952381;
15;130.0;1.0;0.54369047619;
16;20.0;1.0;0.542023809524;
17;185.0;1.0;0.524285714286;
18;164.0;1.0;0.539404761905;
19;163.0;1.0;0.548214285714;
20;169.0;1.0;0.554166666667;


Metric: 8;
featureCount;featureAdded;train;test;
1;0.0;0.999230769231;0.537738095238;
2;3.0;1.0;0.48869047619;
3;2.0;0.9998;0.498095238095;
4;4.0;1.0;0.535595238095;
5;554.0;0.999607692308;0.53119047619;
6;130.0;1.0;0.540357142857;
7;129.0;1.0;0.538928571429;
8;461.0;1.0;0.536547619048;
9;460.0;1.0;0.530833333333;
10;520.0;1.0;0.520714285714;
11;1.0;1.0;0.519761904762;
12;42.0;1.0;0.535595238095;
13;41.0;1.0;0.520476190476;
14;9.0;1.0;0.515833333333;
15;555.0;1.0;0.5175;
16;470.0;1.0;0.499761904762;
17;5.0;1.0;0.515119047619;
18;109.0;1.0;0.495476190476;
19;556.0;1.0;0.504166666667;
20;371.0;1.0;0.510238095238;


Metric: 9;
featureCount;featureAdded;train;test;
1;347.0;0.998430769231;0.489642857143;
2;348.0;0.993776923077;0.494047619048;
3;341.0;0.9996;0.4825;
4;342.0;0.9998;0.484166666667;
5;271.0;0.999423076923;0.486785714286;
6;325.0;0.9998;0.487380952381;
7;73.0;0.999223076923;0.474285714286;
8;39.0;1.0;0.487857142857;
9;270.0;1.0;0.513928571429;
10;40.0;1.0;0.518333333333;
11;326.0;0.999607692308;0.502261904762;
12;66.0;0.999807692308;0.518452380952;
13;72.0;0.999607692308;0.506904761905;
14;238.0;0.999807692308;0.519523809524;
15;205.0;1.0;0.519523809524;
16;105.0;1.0;0.52869047619;
17;215.0;1.0;0.509047619048;
18;237.0;0.999607692308;0.514047619048;
19;17.0;1.0;0.524166666667;
20;67.0;1.0;0.513571428571;


